step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,best_car_speed,best_car_speed_kph,best_car_distance,best_car_checkpoints,best_car_reward,best_car_x,best_car_y
1,8,6,0.05406036600470543,0.19461731612682343,0.1313788890838623,0.24599529802799225,0.0,0,none,4,0.314951628446579,1.1338258624076845,0.24599529802799225,0,0.018589217215776443,1500.7543317314057,870.0114991531136
2,8,5,0.13429781794548035,0.48347213864326477,0.3366166353225708,0.7335029244422913,0.0,0,none,4,0.6244494318962097,2.2480179548263552,0.7335029244422913,0,0.03499029576778412,1500.2671622255202,870.0323560661764
3,8,6,0.25646868348121643,0.9232872128486633,0.5885611772537231,1.1837799549102783,0.0,0,none,4,0.5764942169189453,2.0753791809082034,1.1837799549102783,0,0.04808299243450165,1499.8174404642696,870.052413526723
4,8,6,0.15510189533233643,0.5583668351173401,0.7601141929626465,1.4376647472381592,0.0,0,none,7,0.4061858654022217,1.462269115447998,1.4376647472381592,0,0.06883823871612549,1499.563330639379,870.0534673426583
5,8,6,0.13706226646900177,0.4934241473674774,0.9706581234931946,1.5945918560028076,0.0,0,none,7,0.20091527700424194,0.723294997215271,1.5945918560028076,0,0.07826048135757446,1499.4065085640884,870.058060883962
6,8,5,-0.011455163359642029,-0.041238587349653244,1.1442346572875977,1.5945918560028076,0.0,0,none,7,0.0,0.0,1.5945918560028076,0,0.07758273929357529,1499.4065085640884,870.058060883962
7,8,7,0.017848577350378036,0.06425487995147705,1.3719570636749268,1.8696620464324951,0.0,0,none,4,0.5078260898590088,1.8281739234924317,1.8696620464324951,0,0.07164689153432846,1499.1322097949046,870.083419553951
8,8,5,-0.014182262122631073,-0.0510561428964138,1.5381007194519043,2.286374807357788,0.0,0,none,4,0.5336016416549683,1.9209659099578857,2.286374807357788,0,0.09043683111667633,1498.7158652270482,870.100014244403
9,8,6,0.07848307490348816,0.2825390696525574,1.6357275247573853,2.3004236221313477,0.0,0,none,4,0.01799106039106846,0.06476781740784646,2.3004236221313477,0,0.09103669971227646,1498.7018275109167,870.1005705376076
10,8,6,0.2166934609413147,0.7800964117050171,1.813791275024414,2.3004236221313477,0.0,0,none,4,0.0,0.0,2.3004236221313477,0,0.08901997655630112,1498.7018275109167,870.1005705376076
11,8,8,0.26472651958465576,0.9530154466629028,2.0474066734313965,2.40805721282959,0.0,0,none,4,-0.13785246014595032,-0.49626885652542113,2.40805721282959,0,0.10340485721826553,1498.8093830503797,870.0961760880369
12,8,8,0.29292234778404236,1.0545203685760498,2.294863224029541,2.9463024139404297,0.0,0,none,3,1.107771873474121,3.987978744506836,2.9463024139404297,0,0.07348570972681046,1498.5241186553535,870.1153353230494
13,8,8,0.3467004597187042,1.2481216192245483,2.584437370300293,3.471278667449951,0.0,0,none,3,0.6722443103790283,2.420079517364502,3.471278667449951,0,0.092845119535923,1497.9998666848928,870.1421541409347
14,8,8,0.41344183683395386,1.488390564918518,2.9527416229248047,4.23258638381958,0.0,0,none,3,0.9749725461006165,3.5099011659622192,4.23258638381958,0,0.1118929535150528,1497.239590827322,870.1822009734203
15,8,8,0.4400979280471802,1.5843524932861328,3.3605895042419434,4.847437858581543,0.0,0,none,3,0.7873748540878296,2.834549474716187,4.847437858581543,0,0.13006684184074402,1496.6254674518252,870.2118740618772
16,8,8,0.3889111280441284,1.4000799655914307,3.732879877090454,5.466299057006836,0.0,0,none,3,0.7925243377685547,2.853087615966797,5.466299057006836,0,0.1491256207227707,1496.0071815079689,870.2385449859275
17,8,8,0.3079020380973816,1.1084473133087158,3.9793713092803955,5.675841808319092,0.0,0,none,3,0.2682563364505768,0.9657228112220765,5.675841808319092,0,0.1653832495212555,1495.7978990909992,870.2475053594976
18,8,8,0.3842204809188843,1.3831937313079834,4.299468994140625,5.919495105743408,0.0,0,none,3,0.3120969831943512,1.1235491394996644,5.919495105743408,0,0.1807805299758911,1495.554434768859,870.2584037180866
19,8,8,0.30669692158699036,1.1041089296340942,4.558128356933594,6.1695404052734375,0.0,0,none,3,0.32022765278816223,1.1528195500373841,6.1695404052734375,0,0.19975346326828003,1495.3046685304664,870.2704622324122
20,8,8,0.4313039481639862,1.5526942014694214,4.894937038421631,6.500328063964844,0.0,0,none,6,0.8859332203865051,3.1893595933914187,6.500328063964844,0,0.25471168756484985,1496.6670690273463,870.0277187149442
21,8,8,0.5030408501625061,1.810947060585022,5.287760257720947,7.425228595733643,0.0,0,none,6,1.1843167543411255,4.263540315628052,7.425228595733643,0,0.27536773681640625,1495.7423641086705,870.0143816525036
22,8,8,0.5321974158287048,1.9159106016159058,5.703317642211914,7.935351371765137,0.0,0,none,6,0.653281569480896,2.3518136501312257,7.935351371765137,0,0.2941513657569885,1495.232347007119,870.0036495930601
23,8,8,0.5218494534492493,1.8786579370498657,6.110812187194824,8.682147979736328,0.0,0,none,6,0.9563846588134766,3.442984771728516,8.682147979736328,0,0.31067144870758057,1494.4857452734875,869.9858008643843
24,8,8,0.6193680763244629,2.2297251224517822,6.594475746154785,9.660772323608398,0.0,0,none,6,1.2532873153686523,4.511834335327149,9.660772323608398,0,0.32669371366500854,1493.507684655099,869.9516027370354
25,8,8,0.5423457622528076,1.9524446725845337,7.017977714538574,10.637857437133789,0.0,0,none,6,1.2513121366500854,4.504723691940308,10.637857437133789,0,0.34623536467552185,1492.5318226156705,869.9021168862268
