step,car_index,x,y,speed,distance_travelled,total_reward,lap_count,next_goal_idx,progress_delta,checkpoints_reached,checkpoint_streak,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,done,collided,terminated_reason
1,0,1500.883200699525,870.0053789304432,0.11692309217670731,0.11694470047950745,0.016666755080223083,0,1,0,0,0,0.00029242355847334996,-0.8855212218148018,-0.9403227500413642,0,0,0,0,0,False,False,
1,1,1501.06660768157,869.9969330519565,-0.06667825293493204,0.06672021746635437,-0.005452210083603859,0,1,0,0,0,0.0002957431508289372,-0.8850314487920868,-0.9404163269198511,1,0,0,0,0,False,False,
1,2,1500.685410092872,870.0150902215199,0.31495162239999996,0.31493622064590454,0.016983376815915108,0,1,0,0,0,-0.0009316476460532562,-0.8860491984431178,-0.9405354634215172,0,0,0,0,0,False,False,
1,3,1501.107624570555,869.994925546832,-0.1077441333070881,0.10778512805700302,0.012980693951249123,0,1,0,0,0,-0.0004043857891360858,-0.8849219423591078,-0.9406578230156071,0,0,0,0,0,False,False,
1,4,1500.789732401869,870.0100830701465,0.2105092186279688,0.2105681151151657,0.015712648630142212,0,1,0,0,0,-0.000920167273268804,-0.8857708837751729,-0.9404112671650039,0,0,0,0,0,False,False,
1,5,1501.1044711491693,869.9951504502369,-0.10458364662633655,0.10460337996482849,0.015227274969220161,0,1,0,0,0,5.7647632791852424e-05,-0.884930427009244,-0.940628550761576,0,0,0,0,0,False,False,
1,6,1501.0982555163087,869.9954976118311,-0.09835861926791965,0.09837034344673157,-0.0024265849497169256,0,1,0,0,0,0.00043650087862311517,-0.8849470484538247,-0.9405919604440373,1,0,0,0,0,False,False,
1,7,1501.000069853754,869.9999967509551,-6.992927312219932e-05,0.0001220703125,9.133388812188059e-05,0,1,0,0,0,-3.8488718195771473e-07,-0.8852090441638688,-0.9401474095255802,1,0,0,0,0,False,False,
2,0,1500.883200699525,870.0053789304432,0.0,0.11694470047950745,0.013353000394999981,0,1,0,0,0,0.00029242355847334996,-0.8855212218148018,-0.9403227500413642,1,0,0,0,0,False,False,
2,1,1501.1028329789467,869.9952801217865,-0.03626298868235288,0.10289059579372406,-0.006059147417545319,0,1,0,0,0,0.0005594092946836326,-0.8849349945034248,-0.9406139146345605,2,0,0,0,0,False,False,
2,2,1500.2457641841772,870.0377554507153,0.44022975552143095,0.7552193403244019,0.036037903279066086,0,1,0,0,0,-0.0032425438584981394,-0.8872232711272192,-0.9408805308408924,0,0,0,0,0,False,False,
2,3,1500.8988915395705,870.0047211092843,0.2089627509095642,0.31675368547439575,0.028022311627864838,0,1,0,0,0,-0.00026489468521207176,-0.8854791917925265,-0.9402935242398848,0,0,0,0,0,False,False,
2,4,1500.789732401869,870.0100830701465,0.0,0.2105681151151657,0.01823783665895462,0,1,0,0,0,-0.000920167273268804,-0.8857708837751729,-0.9404112671650039,1,0,0,0,0,False,False,
2,5,1501.3449643639428,869.9836132768255,-0.24076979196406112,0.3453584313392639,0.021029982715845108,0,1,0,0,0,-0.0009236699074263141,-0.8842884142550583,-0.9420116647645419,0,0,0,0,0,False,False,
2,6,1501.1792540535998,869.9918247054459,-0.08108176912615063,0.17938578128814697,-0.0037268465384840965,0,1,0,0,0,0.0007386205390436847,-0.8847310074834212,-0.9410310442545026,2,0,0,0,0,False,False,
2,7,1500.6854770218265,870.0135082167457,0.3148828506095198,0.3151082694530487,0.011251850053668022,0,1,0,0,0,0.002280475994584524,-0.8860490017946183,-0.9407262619171519,0,0,0,0,0,False,False,
3,0,1501.0209157258669,869.9992249102005,-0.13785245897500004,0.2547779381275177,0.027646401897072792,0,1,0,0,0,0.0011567996331564244,-0.8851536670750948,-0.9401455585700641,0,0,0,0,0,False,False,
3,1,1501.2762153792419,869.9877998915817,-0.1735436849211473,0.2765148878097534,0.007458588108420372,0,1,0,0,0,0.002130839228468378,-0.8844719987818785,-0.9415140364460145,0,0,0,0,0,False,False,
