step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,checkpoint_death_distribution
1,8,0,0.02353106066584587,0.08471181243658066,0.0010877863969653845,0.002464138437062502,0.0,0,active,7,{}
2,8,0,0.01267184317111969,0.04561862349510193,0.0029326616786420345,0.00785367377102375,0.0,0,active,7,{}
3,8,0,0.00575141329318285,0.02070508524775505,0.00491710938513279,0.010250924155116081,0.0,0,active,5,{}
4,8,0,0.11222583800554276,0.404013067483902,0.007110882550477982,0.018019117414951324,0.0,0,active,5,{}
5,8,0,0.15229418873786926,0.5482590794563293,0.009618074633181095,0.026289770379662514,0.0,0,active,5,{}
6,8,0,0.1345216929912567,0.4842781126499176,0.012485560029745102,0.02880861982703209,0.0,0,active,5,{}
7,8,0,0.1838257610797882,0.6617727279663086,0.015760138630867004,0.032891012728214264,0.0,0,active,5,{}
8,8,0,0.11896444857120514,0.428272008895874,0.018583454191684723,0.037454403936862946,0.0,0,active,5,{}
9,8,0,0.060114361345767975,0.21641169488430023,0.020404431968927383,0.038667771965265274,0.0,0,active,5,{}
10,8,0,0.1419474333524704,0.5110107660293579,0.02350144274532795,0.03874772787094116,0.0,0,active,5,{}
11,8,0,0.10528688877820969,0.37903279066085815,0.02561548352241516,0.03902409225702286,0.0,0,active,5,{}
12,8,0,0.11365289241075516,0.4091503620147705,0.028324954211711884,0.039519477635622025,0.0,0,active,5,{}
13,8,0,-0.015576217323541641,-0.05607437342405319,0.030486494302749634,0.04101568087935448,0.0,0,active,5,{}
14,8,0,0.1013728454709053,0.3649422824382782,0.03276680409908295,0.04287010803818703,0.0,0,active,5,{}
15,8,0,0.042694322764873505,0.15369956195354462,0.03444983810186386,0.046136192977428436,0.0,0,active,4,{}
16,8,0,0.11764401942491531,0.42351844906806946,0.036569610238075256,0.04670042544603348,0.0,0,active,4,{}
17,8,0,0.1911332607269287,0.6880797743797302,0.03910849615931511,0.049054812639951706,0.0,0,active,5,{}
18,8,0,0.17492589354515076,0.6297332048416138,0.042090557515621185,0.050132591277360916,0.0,0,active,2,{}
19,8,0,0.10752273350954056,0.3870818316936493,0.04489326477050781,0.055008672177791595,0.0,0,active,2,{}
20,8,0,0.04382074624300003,0.15775465965270996,0.04744930937886238,0.06022866815328598,0.0,0,active,2,{}
21,8,0,0.14425881206989288,0.519331693649292,0.049934275448322296,0.06710249185562134,0.0,0,active,2,{}
22,8,0,0.07898914813995361,0.2843609154224396,0.052592791616916656,0.07616417855024338,0.0,0,active,2,{}
23,8,0,0.056616928428411484,0.20382091403007507,0.05514230206608772,0.08650621026754379,0.0,0,active,2,{}
24,8,0,0.012986845336854458,0.04675263538956642,0.05735215172171593,0.09469291567802429,0.0,0,active,2,{}
25,8,0,0.06347063928842545,0.2284943163394928,0.06041732430458069,0.10328264534473419,0.0,0,active,2,{}
26,8,1,0.11543159186840057,0.4155537784099579,0.06413448601961136,0.11496778577566147,0.0,0,active,2,{}
27,8,1,0.12083157151937485,0.4349936246871948,0.06829134374856949,0.12761037051677704,0.0,0,active,2,{}
28,8,1,0.15239112079143524,0.5486080646514893,0.07256155461072922,0.1427524983882904,0.0,0,active,2,{}
29,8,1,0.1482858806848526,0.5338292121887207,0.07694969326257706,0.15638010203838348,0.0,0,active,2,{}
30,8,0,0.10240400582551956,0.36865442991256714,0.07958941161632538,0.16594786942005157,0.0,0,active,2,{}
31,8,1,0.18589302897453308,0.6692149043083191,0.08295349031686783,0.17701826989650726,0.0,0,active,2,{}
32,8,0,0.20609410107135773,0.7419387698173523,0.08705862611532211,0.18597085773944855,0.0,0,active,2,{}
33,8,0,0.18927980959415436,0.6814073920249939,0.09074139595031738,0.19660773873329163,0.0,0,active,2,{}
34,8,0,0.0967010110616684,0.3481237292289734,0.0936538428068161,0.20443034172058105,0.0,0,active,2,{}
35,8,0,0.10517779737710953,0.3786400854587555,0.0965786948800087,0.20981407165527344,0.0,0,active,2,{}
36,8,0,0.08823917806148529,0.3176610469818115,0.09941335022449493,0.21689125895500183,0.0,0,active,2,{}
37,8,0,0.110239677131176,0.3968628942966461,0.10183238238096237,0.22532640397548676,0.0,0,active,2,{}
38,8,1,0.07012590765953064,0.25245317816734314,0.10421114414930344,0.23666182160377502,0.0,0,active,2,{}
39,8,1,0.1072610542178154,0.38613978028297424,0.10668208450078964,0.2497888058423996,0.0,0,active,2,{}
40,0,1,0.07343965768814087,0.2643827199935913,0.10957268625497818,0.2625886797904968,0.0,0,max_steps,2,{'0': 8}
