training_iteration,episode_reward_mean,episode_len_mean,timesteps_total,time_total_s,evaluation_episode_reward_mean,evaluation_episode_len_mean,policy_entropy,value_loss,kl_value,sample_time_s,learner_update_time_s,sync_weights_time_s,samples_per_second,iteration_wall_time_s
1.0,0.7489746512266909,42.0,512.0,17.903692960739136,4.04415732045503,42.0,3.096653699874878,0.08008208125829697,0.20000000298023224,512.0,0.2006044000154361,0.0,28.559329902196644,17.92759149998892
2.0,1.3478545342558823,42.0,1024.0,34.518789768218994,7.223712028411618,42.0,3.1144611835479736,0.6192523241043091,0.10000000149011612,1024.0,0.15917769994121045,0.0,30.759597506585518,16.645211299997754
3.0,3.2926558690550323,42.0,1536.0,50.75637459754944,-0.9963470771632021,33.0,3.024038076400757,1.4317082166671753,0.10000000149011612,1536.0,0.13519510009791702,0.0,31.454069216926804,16.277703100000508
4.0,2.884936197747323,40.75,2048.0,69.6395251750946,-1.0943228671441654,30.0,3.154860019683838,6.151763439178467,0.10000000149011612,2048.0,0.13203269999939948,0.0,26.99877892739525,18.963820600067265
5.0,3.5179268825372123,42.0,2560.0,89.01887392997742,-4.356222916080945,27.0,3.0073277950286865,1.6326781511306763,0.10000000149011612,2560.0,0.11679150001145899,0.0,26.379893727317107,19.408721099956892
6.0,1.1787337012433605,37.13095238095238,3073.0,109.38962435722351,-1.0749684420240406,30.0,3.102033853530884,6.853015422821045,0.10000000149011612,3073.0,0.12611099996138364,0.0,25.139138146603152,20.40642749995459
