step,alive_cars,moving_cars,avg_current_speed,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,best_car_speed,best_car_distance,best_car_checkpoints,best_car_reward,best_car_x,best_car_y
1,8,0,0.044721536338329315,0.04472590237855911,0.04472590237855911,0.0,0,none,0,0.044721536338329315,0.04472590237855911,0,0.0031159776262938976,1500.955326752904,870.0020777047376
2,8,0,0.08861114084720612,0.13332131505012512,0.13332131505012512,0.0,0,none,0,0.08861114084720612,0.13332131505012512,0,0.006375615485012531,1500.866811238311,870.0061933096644
3,8,8,0.13170641660690308,0.26505744457244873,0.26505744457244873,0.0,0,none,0,0.13170643150806427,0.26505744457244873,0,0.024793613702058792,1500.7352467822714,870.0123070313127
4,8,8,0.17412346601486206,0.43919411301612854,0.43919411301612854,0.0,0,none,0,0.17412346601486206,0.43919411301612854,0,0.04334627836942673,1500.5613106858477,870.0203827028453
5,8,8,0.21586865186691284,0.6550025343894958,0.6550025343894958,0.0,0,none,0,0.21586865186691284,0.6550025343894958,0,0.06203106790781021,1500.345673791746,870.0303828372787
6,8,8,0.2569440007209778,0.9119921326637268,0.9119921326637268,0.0,0,none,0,0.2569440007209778,0.9119921326637268,0,0.0808456540107727,1500.0890048492556,870.0422686226214
7,8,8,0.29735392332077026,1.2093064785003662,1.2093064785003662,0.0,0,none,0,0.29735392332077026,1.2093064785003662,0,0.09978771954774857,1499.79196814807,870.056000210859
8,8,8,0.33710193634033203,1.5464551448822021,1.5464551448822021,0.0,0,none,0,0.3371019661426544,1.5464551448822021,0,0.11885496973991394,1499.4552244037714,870.0715368245355
9,8,8,0.37619122862815857,1.9225871562957764,1.9225871562957764,0.0,0,none,0,0.37619122862815857,1.9225871562957764,0,0.13804516196250916,1499.0794311678846,870.088836857684
10,8,8,0.41462522745132446,2.3372063636779785,2.3372063636779785,0.0,0,none,0,0.41462525725364685,2.3372063636779785,0,0.15735599398612976,1498.6652424520403,870.1078579924197
11,8,8,0.4523448646068573,2.789584159851074,2.789584159851074,0.0,0,none,0,0.4523448646068573,2.789584159851074,0,0.17678490281105042,1498.2133713005405,870.1285544839232
12,8,8,0.48941874504089355,3.2789859771728516,3.2789859771728516,0.0,0,none,0,0.48941874504089355,3.2789859771728516,0,0.19632986187934875,1497.7244621550724,870.1508830479147
13,8,8,0.5258508920669556,3.8049211502075195,3.8049211502075195,0.0,0,none,0,0.5258508920669556,3.8049211502075195,0,0.21598859131336212,1497.1991554567317,870.1747999384537
14,8,8,0.5616457462310791,4.366533279418945,4.366533279418945,0.0,0,none,0,0.5616457462310791,4.366533279418945,0,0.23575882613658905,1496.6380871097451,870.200261037187
15,8,8,0.5968044400215149,4.963334560394287,4.963334560394287,0.0,0,none,0,0.5968044400215149,4.963334560394287,0,0.2556383013725281,1496.0418919330375,870.2272218107328
16,8,8,0.631332516670227,5.594588279724121,5.594588279724121,0.0,0,none,0,0.631332516670227,5.594588279724121,0,0.2756248414516449,1495.41119924727,870.2556375731909
17,8,8,0.6652354001998901,6.2599310874938965,6.2599310874938965,0.0,0,none,0,0.6652354001998901,6.2599310874938965,0,0.295716255903244,1494.7466327978302,870.2854635428256
18,8,8,0.6985189914703369,6.958381652832031,6.958381652832031,0.0,0,none,0,0.6985189914703369,6.958381652832031,0,0.31591033935546875,1494.0488105809893,870.3166549001045
19,8,8,0.7311834096908569,7.689574241638184,7.689574241638184,0.0,0,none,0,0.7311833500862122,7.689574241638184,0,0.3362048864364624,1493.3183503738692,870.3491666304305
20,8,8,0.7631604075431824,8.45277214050293,8.45277214050293,0.0,0,none,0,0.7631604075431824,8.45277214050293,0,0.35659343004226685,1492.5559383813927,870.3829560625505
21,8,8,0.7945506572723389,9.247245788574219,9.247245788574219,0.0,0,none,0,0.7945505976676941,9.247245788574219,0,0.37708190083503723,1491.762160251965,870.4179840804313
22,8,8,0.8253406286239624,10.072627067565918,10.072627067565918,0.0,0,none,0,0.8253406286239624,10.072627067565918,0,0.39766448736190796,1490.9376150527958,870.4542102400956
23,8,8,0.8555363416671753,10.928178787231445,10.928178787231445,0.0,0,none,0,0.8555362820625305,10.928178787231445,0,0.4183388948440552,1490.082895901732,870.4915939459644
24,8,8,0.8851471543312073,11.813294410705566,11.813294410705566,0.0,0,none,0,0.8851471543312073,11.813294410705566,0,0.43910303711891174,1489.198586465088,870.5300947325134
25,8,8,0.914182186126709,12.727482795715332,12.727482795715332,0.0,0,none,0,0.914182186126709,12.727482795715332,0,0.45995479822158813,1488.2852614138123,870.5696723238196
26,8,8,0.9426489472389221,13.670129776000977,13.670129776000977,0.0,0,none,0,0.9426489472389221,13.670129776000977,0,0.4808919429779053,1487.3434878121989,870.6102866994668
27,8,8,0.9705507755279541,14.640748977661133,14.640748977661133,0.0,0,none,0,0.9705507159233093,14.640748977661133,0,0.5019122362136841,1486.3738295052167,870.6518981501243
28,8,8,0.9978891015052795,15.638604164123535,15.638604164123535,0.0,0,none,0,0.9978891015052795,15.638604164123535,0,0.5230134725570679,1485.37684878246,870.694467347797
29,8,8,1.024670958518982,16.663209915161133,16.663209915161133,0.0,0,none,0,1.024670958518982,16.663209915161133,0,0.5441934466362,1484.353101115629,870.7379555257875
30,8,8,1.050903558731079,17.714195251464844,17.714195251464844,0.0,0,none,0,1.050903558731079,17.714195251464844,0,0.5654498338699341,1483.3031345737963,870.7823245255411
31,8,8,1.076594591140747,18.79070472717285,18.79070472717285,0.0,0,none,0,1.076594591140747,18.79070472717285,0,0.586780309677124,1482.2274897305856,870.8275368293699
32,8,8,1.101747989654541,19.89249610900879,19.89249610900879,0.0,0,none,0,1.101747989654541,19.89249610900879,0,0.6081821918487549,1481.1267033051133,870.8735559851449
33,8,8,1.1263766288757324,21.018835067749023,21.018835067749023,0.0,0,none,0,1.1263766288757324,21.018835067749023,0,0.6296534538269043,1480.0012989374452,870.9203462880306
34,8,8,1.1504878997802734,22.169353485107422,22.169353485107422,0.0,0,none,0,1.1504878997802734,22.169353485107422,0,0.6511911749839783,1478.851793139776,870.967872554544
35,8,8,1.1740893125534058,23.34343910217285,23.34343910217285,0.0,0,none,0,1.1740893125534058,23.34343910217285,0,0.6727925539016724,1477.6786947417409,871.0161002098992
36,8,8,1.197178840637207,24.540605545043945,24.540605545043945,0.0,0,none,0,1.1971787214279175,24.540605545043945,0,0.6944544315338135,1476.4825148688012,871.0649952785798
37,8,8,1.2197625637054443,25.760360717773438,25.760360717773438,0.0,0,none,0,1.2197625637054443,25.760360717773438,0,0.7161734104156494,1475.263758370108,871.1145248131093
38,8,8,1.241851806640625,27.002220153808594,27.002220153808594,0.0,0,none,0,1.241851806640625,27.002220153808594,0,0.7379457950592041,1474.0229188446817,871.1646569778752
39,8,8,1.2634679079055786,28.265687942504883,28.265687942504883,0.0,0,none,0,1.2634679079055786,28.265687942504883,0,0.7597671747207642,1472.7604687015921,871.2153612821913
40,8,8,1.2845866680145264,29.550281524658203,29.550281524658203,0.0,0,none,0,1.2845866680145264,29.550281524658203,0,0.7816322445869446,1471.4769045551914,871.2666068315027
41,8,8,1.3052443265914917,30.855506896972656,30.855506896972656,0.0,0,none,0,1.3052443265914917,30.855506896972656,0,0.8035345673561096,1470.1726868196288,871.3183649058633
42,8,8,1.325448989868164,32.180999755859375,32.180999755859375,0.0,0,none,0,1.325448989868164,32.180999755859375,0,0.8254657983779907,1468.8482678640003,871.3706077076175
43,8,8,1.3452086448669434,33.526145935058594,33.526145935058594,0.0,0,none,0,1.3452086448669434,33.526145935058594,0,0.8474144339561462,1467.5040919762196,871.4233083072854
44,8,8,1.364492654800415,34.890708923339844,34.890708923339844,0.0,0,none,0,1.364492654800415,34.890708923339844,0,0.8693621754646301,1466.140634453331,871.4764464500871
45,8,8,1.3833487033843994,36.274070739746094,36.274070739746094,0.0,0,none,0,1.3833487033843994,36.274070739746094,0,0.8912863731384277,1464.7583228130825,871.5300014254881
46,8,8,1.4017658233642578,37.675865173339844,37.675865173339844,0.0,0,none,0,1.4017658233642578,37.675865173339844,0,0.9131386876106262,1463.3575954973467,871.5839509759301
47,8,8,1.4197639226913452,39.09560775756836,39.09560775756836,0.0,0,none,0,1.4197639226913452,39.09560775756836,0,0.9348235726356506,1461.938871201293,871.6382729662014
48,8,8,1.4373538494110107,40.532928466796875,40.532928466796875,0.0,0,none,0,1.4373538494110107,40.532928466796875,0,0.9560819268226624,1460.5025575208904,871.6929448881266
49,8,8,1.4545512199401855,41.98746109008789,41.98746109008789,0.0,0,none,0,1.4545512199401855,41.98746109008789,0,0.9756057262420654,1459.0490464072866,871.7479431463086
50,8,8,1.4714921712875366,43.45895767211914,43.45895767211914,1.0,1,none,0,1.4714921712875366,43.45895767211914,1,4.1980133056640625,1457.578593885984,871.8032477668401
51,8,8,1.4882280826568604,44.94717788696289,44.94717788696289,1.0,1,none,0,1.4882280826568604,44.94717788696289,1,4.22046422958374,1456.0914042713575,871.8588337916121
52,8,8,1.5045876502990723,46.45175552368164,46.45175552368164,1.0,1,none,0,1.5045876502990723,46.45175552368164,1,4.242958068847656,1454.5878532026138,871.9146729782336
53,8,8,1.520583152770996,47.972320556640625,47.972320556640625,1.0,1,none,0,1.520583152770996,47.972320556640625,1,4.265491008758545,1453.0683041050065,871.9707404360332
54,8,8,1.536221981048584,49.508628845214844,49.508628845214844,1.0,1,none,0,1.536221981048584,49.508628845214844,1,4.288060665130615,1451.5331131172961,872.0270135129945
55,8,8,1.5515161752700806,51.0600700378418,51.0600700378418,1.0,1,none,0,1.5515161752700806,51.0600700378418,1,4.310664176940918,1449.9826244916812,872.0834715737452
56,8,8,1.566473126411438,52.626644134521484,52.626644134521484,1.0,1,none,0,1.566473126411438,52.626644134521484,1,4.333298206329346,1448.4171750488927,872.140095424359
57,8,8,1.581096887588501,54.207618713378906,54.207618713378906,1.0,1,none,0,1.581096887588501,54.207618713378906,1,4.355958938598633,1446.8370976808865,872.1968668257939
58,8,8,1.595367670059204,55.80299377441406,55.80299377441406,1.0,1,none,0,1.595367670059204,55.80299377441406,1,4.3786420822143555,1445.2427450169348,872.253767413454
59,8,8,1.6092875003814697,57.41228103637695,57.41228103637695,1.0,1,none,0,1.6092875003814697,57.41228103637695,1,4.401341915130615,1443.6344677061152,872.3107799004606
60,8,8,1.6228511333465576,59.03523254394531,59.03523254394531,1.0,1,none,0,1.6228511333465576,59.03523254394531,1,4.424052715301514,1442.012621748834,872.3678880689558
61,8,8,1.6360658407211304,60.671241760253906,60.671241760253906,1.0,1,none,0,1.6360658407211304,60.671241760253906,1,4.446765899658203,1440.3775557747879,872.4250770259362
62,8,8,1.648908019065857,62.320186614990234,62.320186614990234,1.0,1,none,0,1.648908019065857,62.320186614990234,1,4.4694695472717285,1438.729642549431,872.482344646146
63,8,8,1.6612629890441895,63.98145294189453,63.98145294189453,1.0,1,none,0,1.6612629890441895,63.98145294189453,1,4.492153167724609,1437.0693693867504,872.5396844642522
64,8,8,1.6732984781265259,65.65467834472656,65.65467834472656,1.0,1,none,0,1.6732984781265259,65.65467834472656,1,4.514797210693359,1435.397056042462,872.5970927520822
65,8,8,1.6850385665893555,67.33973693847656,67.33973693847656,1.0,1,none,0,1.6850385665893555,67.33973693847656,1,4.537374496459961,1433.712997799523,872.6545635640811
66,8,8,1.696487307548523,69.03627014160156,69.03627014160156,1.0,1,none,0,1.696487307548523,69.03627014160156,1,4.55984354019165,1432.017486095199,872.7120901338545
67,8,8,1.7076499462127686,70.74390411376953,70.74390411376953,1.0,1,none,0,1.707650065422058,70.74390411376953,1,4.5821332931518555,1430.310806992521,872.7696663166018
68,8,8,1.7185356616973877,72.46240234375,72.46240234375,1.0,1,none,0,1.7185356616973877,72.46240234375,1,4.604109287261963,1428.59323750631,872.8272862683125
69,8,8,1.7291522026062012,74.19163513183594,74.19163513183594,1.0,1,none,0,1.7291522026062012,74.19163513183594,1,4.625457286834717,1426.8650468353082,872.8849446590378
70,8,8,1.7395071983337402,75.93111419677734,75.93111419677734,1.0,1,none,0,1.7395071983337402,75.93111419677734,1,4.645115852355957,1425.1264966299477,872.9426383796532
71,8,8,1.7496131658554077,77.68072509765625,77.68072509765625,1.0,1,none,0,1.7496131658554077,77.68072509765625,1,4.653103351593018,1423.3778362155012,873.0003718952812
72,8,8,1.7587252855300903,79.43936920166016,79.43936920166016,2.0,2,none,0,1.7587252855300903,79.43936920166016,2,7.876601219177246,1421.6200619772683,873.0582011648605
73,8,8,1.7687476873397827,81.20813751220703,81.20813751220703,2.0,2,none,0,1.7687476873397827,81.20813751220703,2,7.9001240730285645,1419.8522619454875,873.1160944315919
