step,car_index,x,y,speed,distance_travelled,total_reward,lap_count,next_goal_idx,progress_delta,checkpoints_reached,checkpoint_streak,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,done,collided,terminated_reason
1,0,1510.1154432679139,875.3596676970657,-0.03243743532661528,0.03248727694153786,-0.003108902834355831,0,1,0,0,0,-0.020846215708558526,-0.8607369095261495,-0.2974293129378903,1,0,0,0,0,False,False,
1,1,1506.5168900699712,868.7729616717721,-0.038049052720100944,0.03800388053059578,-0.0008538248366676271,0,1,0,0,0,-0.03499207888690611,-0.8703358684401894,-0.9128272274956112,1,0,0,0,0,False,False,
1,2,1503.9867334185285,860.8723200009313,0.05933745538652242,0.05941100791096687,-0.0035719950683414936,0,1,0,0,0,0.18534510243404345,-0.8738297040324146,0.034452185202349606,1,0,0,0,0,False,False,
1,3,1493.4824140789804,865.1614362559781,-0.031114831087132054,0.031138040125370026,-0.0032776514999568462,0,1,0,0,0,0.10432349060209371,-0.9036388942454071,-0.4283735958322713,1,0,0,0,0,False,False,
1,4,1502.165014233625,870.600123436675,0.2991374780382699,0.2991431951522827,0.017685934901237488,0,1,0,0,0,-0.0444236851583115,-0.882167413615895,-0.8680992233362068,0,0,0,0,0,False,False,
1,5,1508.797134456401,861.5439499516569,0.31495162239999996,0.31494200229644775,0.015287395566701889,0,1,0,0,0,0.13042076186845292,-0.8617010929876282,-0.04607578563699688,0,0,0,0,0,False,False,
1,6,1505.9737858442486,875.0679584720486,-0.13785245897500004,0.13780242204666138,0.013135395012795925,0,1,0,0,0,-0.06568345436075383,-0.8718086606467417,-0.3324096565049638,0,0,0,0,0,False,False,
1,7,1498.8916779555918,871.9085866585212,-0.13785245897500004,0.13786792755126953,0.012406262569129467,0,1,0,0,0,-0.03037699866734411,-0.8909551310705168,-0.7263701444505695,0,0,0,0,0,False,False,
2,0,1510.2465562266993,875.3637516761127,-0.1311765483856042,0.16365455090999603,0.00635267049074173,0,1,0,0,0,-0.02110735318491095,-0.8603873223354142,-0.29693900268287066,0,0,0,0,0,False,False,
2,1,1506.6909343396615,868.7520050234403,-0.17530142304417706,0.21333052217960358,0.012353585101664066,0,1,0,0,0,-0.03388437008631513,-0.869868991696853,-0.9103171317124509,0,0,0,0,0,False,False,
2,2,1503.613898613798,860.8537222614017,0.3732983626189471,0.4326782524585724,0.009944025427103043,0,1,0,0,0,0.18430522704216956,-0.8747839658395069,0.03668419457221517,0,0,0,0,0,False,False,
2,3,1493.6508321492613,865.1569772649083,-0.16847708745852594,0.1996539831161499,0.003658710513263941,0,1,0,0,0,0.10387675336154384,-0.903195516858172,-0.4290117538390962,0,0,0,0,0,False,False,
2,4,1501.5589518201737,870.6590528431815,0.6089206220433608,0.9080833792686462,0.033858560025691986,0,1,0,0,0,-0.04211476372315891,-0.8837877460857051,-0.8610299739877145,0,0,0,0,0,False,False,
2,5,1508.797134456401,861.5439499516569,0.0,0.31494200229644775,0.011727637611329556,0,1,0,0,0,0.13042076186845292,-0.8617010929876282,-0.04607578563699688,1,0,0,0,0,False,False,
2,6,1506.247090367483,875.0576884692538,-0.27349741384103204,0.4113101363182068,0.01847882568836212,0,1,0,0,0,-0.06420325890750671,-0.871083029239502,-0.3336390911742667,0,0,0,0,0,False,False,
2,7,1499.0507680907344,871.9003874204026,-0.15930128249777445,0.29713568091392517,0.023000603541731834,0,1,0,0,0,-0.031236559338472917,-0.8905309277320616,-0.7262450798886694,0,0,0,0,0,False,False,
3,0,1510.4417917868407,875.3697500778554,-0.19532768561350913,0.358936607837677,0.019328605383634567,0,1,0,0,0,-0.02129781025908402,-0.8598668640537062,-0.2962218324591106,0,0,0,0,0,False,False,
