step,car_index,x,y,speed,distance_travelled,total_reward,lap_count,next_goal_idx,progress_delta,checkpoints_reached,checkpoint_streak,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,done,collided,terminated_reason
1,0,1510.0279952039107,875.3568895214345,0.05505474849793552,0.055082157254219055,0.0025598302017897367,0,1,0,0,0,-0.02075234900902798,-0.8609703059344629,-0.29776594385924715,1,0,0,0,0,False,False,
1,1,1506.4516449037208,868.780925682902,0.027680371670089025,0.027670206502079964,0.002220601076260209,0,1,0,0,0,-0.03516145069326247,-0.8705107280120284,-0.9137858938151272,1,0,0,0,0,False,False,
1,2,1504.0459852540182,860.87550647278,0.0,0.0,-0.001392123638652265,0,1,0,0,0,0.18531981358975586,-0.8736779209069417,0.03407164589994638,1,0,0,0,0,False,False,
1,3,1493.3947980630874,865.1637733169696,0.05653234901805901,0.0565391480922699,0.0010493804002180696,0,1,0,0,0,0.1044359564335085,-0.9038695575515587,-0.42803667904905884,1,0,0,0,0,False,False,
1,4,1502.4349595467752,870.5726446854467,0.027797187161155427,0.027851833030581474,0.0020649584475904703,0,1,0,0,0,-0.044293947491756414,-0.881445717225337,-0.871392351914697,1,0,0,0,0,False,False,
1,5,1509.083990401402,861.544503536695,0.028095151003221946,0.028076238930225372,0.000429055915446952,0,1,0,0,0,0.1292562730384955,-0.8609520357174172,-0.04614164820856659,1,0,0,0,0,False,False,
1,6,1505.7793987716648,875.075596955635,0.05668463400637421,0.05668562650680542,0.0018459996208548546,0,1,0,0,0,-0.06586945122501094,-0.8723245133386228,-0.33148758050298655,1,0,0,0,0,False,False,
1,7,1498.697579380201,871.9182571338348,0.05648687761461953,0.056466326117515564,0.0025430130772292614,0,1,0,0,0,-0.030148220208458712,-0.8914727629491093,-0.7265609286531116,1,0,0,0,0,False,False,
2,0,1509.9185174553718,875.3534110652979,0.10953299540424845,0.16463448107242584,0.02045232243835926,0,1,0,0,0,-0.020841361717743388,-0.8612622892546852,-0.29818307347918915,0,0,0,0,0,False,False,
2,1,1506.3971410938168,868.7875828370773,0.05490886081277213,0.08263970911502838,0.0046782707795500755,0,1,0,0,0,-0.035179839380906706,-0.8706570915767102,-0.9145835627374725,2,0,0,0,0,False,False,
2,2,1504.0459852540182,860.87550647278,0.0,0.0,-0.0028702470008283854,0,1,0,0,0,0.18531981358975586,-0.8736779209069417,0.03407164589994638,2,0,0,0,0,False,False,
2,3,1493.282799565409,865.1667711016812,0.11203861028855426,0.1685175597667694,0.017255328595638275,0,1,0,0,0,0.10475098023027776,-0.9041641435524087,-0.42761857749880705,0,0,0,0,0,False,False,
2,4,1502.3801059078444,870.5782404149335,0.05513831601012099,0.08294828981161118,0.0043381378054618835,0,1,0,0,0,-0.044331326553407595,-0.8815922810393454,-0.8707190900719834,2,0,0,0,0,False,False,
2,5,1509.028371966166,861.5444405035323,0.05561847095401409,0.08374033868312836,0.0009614878799766302,0,1,0,0,0,0.12938238551334078,-0.8610974226546619,-0.046134330145058855,2,0,0,0,0,False,False,
2,6,1505.6671573075919,875.0799965713778,0.11232765855264237,0.16907626390457153,0.018839702010154724,0,1,0,0,0,-0.06601947874382354,-0.8726226174078558,-0.3309606799304281,0,0,0,0,0,False,False,
2,7,1498.5856811317287,871.9237839258254,0.11203465285726741,0.16853949427604675,0.020276237279176712,0,1,0,0,0,-0.030222127403909362,-0.8917712934554589,-0.7266851070432587,0,0,0,0,0,False,False,
3,0,1509.7554401846019,875.3482500008224,0.1631589189356642,0.32767897844314575,0.03854065388441086,0,1,0,0,0,-0.020987124764334907,-0.8616968363979618,-0.2987977908138407,0,0,0,0,0,False,False,
3,1,1506.3160237084662,868.7974855463024,0.08171960509019628,0.1642952561378479,0.0072251008823513985,0,1,0,0,0,-0.03519987676974602,-0.8708745085807764,-0.9157690890257291,3,0,0,0,0,False,False,
3,2,1504.0459852540182,860.87550647278,0.0,0.0,-0.004258076194673777,0,1,0,0,0,0.18531981358975586,-0.8736779209069417,0.03407164589994638,3,0,0,0,0,False,False,
3,3,1493.1161861778237,865.1712354578067,0.16667318740073275,0.33520472049713135,0.03362537920475006,0,1,0,0,0,0.10521779628856506,-0.9046026360631169,-0.4269959132045651,0,0,0,0,0,False,False,
3,4,1502.2984687721128,870.5865641194906,0.08206038013582444,0.16503411531448364,0.006699982099235058,0,1,0,0,0,-0.044380035347041116,-0.8818106506042273,-0.8697238334349287,3,0,0,0,0,False,False,
3,5,1508.945652654631,861.5443495693373,0.08271936151766167,0.16638195514678955,0.0015992466360330582,0,1,0,0,0,0.12956452727073106,-0.8613132751811801,-0.04612701208155112,3,0,0,0,0,False,False,
3,6,1505.5001880218147,875.0865387319283,0.16709740350363123,0.3360741138458252,0.036011308431625366,0,1,0,0,0,-0.0662404045168311,-0.8730655470340986,-0.33017764713509823,0,0,0,0,0,False,False,
3,7,1498.419173763457,871.9320035573918,0.16671012576290697,0.3352471590042114,0.038183875381946564,0,1,0,0,0,-0.03033030572030763,-0.8922153422876324,-0.7268539942276487,0,0,0,0,0,False,False,
4,0,1509.539614127361,875.341458579022,0.21593288400399366,0.5436075329780579,0.05678906291723251,0,1,0,0,0,-0.021189807299223023,-0.8622723321841876,-0.2996174139267094,0,0,0,0,0,False,False,
4,1,1506.208704405876,868.8105770865501,0.108114851590773,0.2723871171474457,0.024852391332387924,0,1,0,0,0,-0.03522043002718931,-0.8711623175558533,-0.9173351546163888,0,0,0,0,0,False,False,
