step,car_index,x,y,speed,speed_kph,distance_travelled,total_reward,lap_count,next_goal_idx,progress_delta,checkpoints_reached,checkpoint_streak,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,done,collided,terminated_reason
1,0,1500.8369858887306,870.0078204728842,0.20899887161375516,0.7523959378095186,0.16315102577209473,0.015097925439476967,0,1,0,0,0,-0.000932485805468117,-0.8856444382912767,-0.9403519722695705,0,0,0,0,0,False,False,
1,1,1501.0775261573706,869.9963441095389,-0.09939170782956126,-0.35781014818642054,0.0776011049747467,-0.0020682760514318943,0,1,0,0,0,-0.00040903375923575266,-0.8850024331036941,-0.9404895075549287,1,0,0,0,0,False,False,
1,2,1500.8008259855071,870.0095895036227,0.255361254157464,0.9193005149668705,0.1994490772485733,0.016039682552218437,0,1,0,0,0,-0.0010430738957479789,-0.8857412328718312,-0.9403893487072126,0,0,0,0,0,False,False,
1,3,1501.1075337923069,869.9951021669743,-0.13785245897500004,-0.4962688523100001,0.10765473544597626,0.010888776741921902,0,1,0,0,0,0.0006110966589637377,-0.884922290214303,-0.9406358688250838,0,0,0,0,0,False,False,
1,4,1500.8223396651513,870.008158031948,0.22775473339100338,0.8199170402076122,0.1778005063533783,0.01758747547864914,0,1,0,0,0,0.0003775276251158428,-0.8856835039810703,-0.9404112671650039,0,0,0,0,0,False,False,
1,5,1500.754317579364,870.0111927166868,0.31495162239999996,1.13382584064,0.24598126113414764,0.017674703150987625,0,1,0,0,0,0.0006098886453442118,-0.8858653189897028,-0.940520852307414,0,0,0,0,0,False,False,
1,6,1500.9208855638146,870.0037359040599,0.1014282550811225,0.365141718292041,0.07918913662433624,0.014316992834210396,0,1,0,0,0,-0.00045159312922938476,-0.8854205403254455,-0.9402569982412635,0,0,0,0,0,False,False,
1,7,1501.1075309060323,869.9950392032791,-0.13785245897500004,-0.4962688523100001,0.1076575219631195,0.013654276728630066,0,1,0,0,0,0.00023923447630649105,-0.8849222826525601,-0.9406431868885915,0,0,0,0,0,False,False,
2,0,1500.8139533669018,870.0089286236018,0.029529977063891186,0.10630791743000827,0.18624845147132874,0.01484596449881792,0,1,0,0,0,-0.001020662365485868,-0.8857060314057505,-0.9403820449367977,1,0,0,0,0,False,False,
2,1,1501.167545763196,869.9920332049842,-0.1154128240077619,-0.41548616642794284,0.1677931547164917,0.011539276689291,0,1,0,0,0,-0.000871654866105271,-0.8847619212525595,-0.9410090900639794,0,0,0,0,0,False,False,
2,2,1500.4942504873354,870.0250694126404,0.39310621408840013,1.4151823707182405,0.5063594579696655,0.033404573798179626,0,1,0,0,0,-0.0025520145454597317,-0.8865596536754663,-0.9406678174607395,0,0,0,0,0,False,False,
2,3,1501.320908734458,869.9860523503293,-0.27349741384103204,-0.9845906898277154,0.32122737169265747,0.021844837814569473,0,1,0,0,0,0.0025903544354507506,-0.8843527675032508,-0.9417262602877394,0,0,0,0,0,False,False,
2,4,1500.6428555050863,870.0160429723074,0.23007230857214253,0.8282603108597131,0.35753846168518066,0.03393279016017914,0,1,0,0,0,0.001647800431268504,-0.8861628035179936,-0.940718958146737,0,0,0,0,0,False,False,
2,5,1500.5875737932959,870.0187533702075,0.21375446544149954,0.7695160755893984,0.41290098428726196,0.034672949463129044,0,1,0,0,0,0.0007491128834415248,-0.8863104379453083,-0.9407774026031496,0,0,0,0,0,False,False,
2,6,1500.5974653342319,870.0196059955645,0.41467604705151945,1.49283376938547,0.403064489364624,0.029733235016465187,0,1,0,0,0,-0.0016376580490480642,-0.8862842050839471,-0.940608522565306,0,0,0,0,0,False,False,
2,7,1501.1363351085697,869.9937143763975,-0.03692617165354783,-0.1329342179527722,0.1364973932504654,0.015535488724708557,0,1,0,0,0,0.000327872528355518,-0.8848453763323529,-0.9408041842857622,1,0,0,0,0,False,False,
3,0,1500.8139533669018,870.0089286236018,0.0,0.0,0.18624845147132874,0.015588905662298203,0,1,0,0,0,-0.001020662365485868,-0.8857060314057505,-0.9403820449367977,2,0,0,0,0,False,False,
3,1,1501.3636240333797,869.9820989902,-0.25142339835418925,-0.9051242340750814,0.3640872836112976,0.01980101317167282,0,1,0,0,0,-0.0026233915422096744,-0.8842384742746006,-0.9421946163522358,0,0,0,0,0,False,False,
3,2,1499.9476412863016,870.0568034098587,0.7011761726883224,2.5242342216779607,1.0539109706878662,0.04782020300626755,0,1,0,0,0,-0.0074486008925747325,-0.8880196921864777,-0.9406751212311544,0,0,0,0,0,False,False,
3,3,1501.4730554215569,869.980024275289,-0.19499462784760443,-0.701980660251376,0.47344455122947693,0.033793069422245026,0,1,0,0,0,0.004349263478255554,-0.8839468653734814,-0.9424434305114995,0,0,0,0,0,False,False,
3,4,1500.220626541035,870.0317363535295,0.5410872983467712,1.9479142740483761,0.7800709009170532,0.05334710329771042,0,1,0,0,0,0.006005851340905287,-0.8872895069449108,-0.9417743779846122,0,0,0,0,0,False,False,
3,5,1500.4230337584463,870.0262843146712,0.21093349480599694,0.759360581301589,0.5776257514953613,0.05254456773400307,0,1,0,0,0,0.00047930676297072396,-0.8867497038550386,-0.941019341784782,0,0,0,0,0,False,False,
3,6,1500.1381210805162,870.0430392108011,0.5890093923129691,2.120433812326689,0.8630126118659973,0.049395494163036346,0,1,0,0,0,-0.0029041253818279404,-0.8875107207439124,-0.9409974233269907,0,0,0,0,0,False,False,
3,7,1501.0511955345487,869.9976968819105,0.10915047250498194,0.392941701017935,0.22179478406906128,0.032713815569877625,0,1,0,0,0,-0.00016894412613466,-0.885072836037924,-0.940328510157758,0,0,0,0,0,False,False,
4,0,1500.568291825551,870.0205706087224,0.31495162239999996,1.13382584064,0.43225234746932983,0.033080507069826126,0,1,0,0,0,-0.0005654434349736448,-0.886362041555667,-0.9406970396889457,0,0,0,0,0,False,False,
4,1,1501.6639292090758,869.9652579705715,-0.38518042142578135,-1.3866495171328128,0.6648523807525635,0.027432773262262344,0,1,0,0,0,-0.006019199875716986,-0.883436470244351,-0.9442144018803764,0,1,0,0,0,False,False,
4,2,1499.7015798474565,870.0721704061451,0.31572457155872413,1.1366084576114068,1.3004810810089111,0.06595011055469513,0,1,0,0,0,-0.010296619447051273,-0.8886771291396935,-0.9405500745356202,0,0,0,0,0,False,False,
4,3,1501.4239758259423,869.9820141641912,0.06290384320338663,0.22645383553219187,0.5225556492805481,0.036221254616975784,0,1,0,0,0,0.003766776566166325,-0.8840778254557847,-0.9422092524792512,1,0,0,0,0,False,False,
4,4,1499.5600319827836,870.0521375594019,0.8463725038056612,3.0469410137003803,1.4409078359603882,0.07057194411754608,0,1,0,0,0,0.01016133260702582,-0.8890515173441574,-0.9439299085882392,0,0,0,0,0,False,False,
4,5,1500.0155801803965,870.0440082577678,0.5222857496589963,1.8802286987723869,0.985358715057373,0.06861244142055511,0,1,0,0,0,0.0019407233718819977,-0.8878369867163806,-0.9417378519859909,0,0,0,0,0,False,False,
4,6,1500.0238679928354,870.0488097936294,0.1465010439039582,0.5274037580542495,0.9772955179214478,0.06517098844051361,0,1,0,0,0,-0.0025894089235849707,-0.8878154723362525,-0.9410997046989857,0,0,0,0,0,False,False,
4,7,1501.0511955345487,869.9976968819105,0.0,0.0,0.22179478406906128,0.027374565601348877,0,1,0,0,0,-0.00016894412613466,-0.885072836037924,-0.940328510157758,1,0,0,0,0,False,False,
5,0,1500.568291825551,870.0205706087224,0.0,0.0,0.43225234746932983,0.03548392280936241,0,1,0,0,0,-0.0005654434349736448,-0.886362041555667,-0.9406970396889457,1,0,0,0,0,False,False,
5,1,1501.7653916891047,869.9593568735323,-0.13015423626784106,-0.4685552505642278,0.766465425491333,0.04211602360010147,0,1,0,0,0,-0.007322186827150921,-0.8831655207117424,-0.9449242540406287,0,0,0,0,0,False,False,
5,2,1499.2143397590212,870.1029042268228,0.6252084222559771,2.2507503201215173,1.788633942604065,0.07507458329200745,0,1,0,0,0,-0.010820259966336544,-0.8899786827894065,-0.9402569982412635,0,0,0,0,0,False,False,
5,3,1501.4239758259423,869.9820141641912,0.0,0.0,0.5225556492805481,0.034843116998672485,0,1,0,0,0,0.003766776566166325,-0.8840778254557847,-0.9422092524792512,2,0,0,0,0,False,False,
5,4,1498.7978614451515,870.0669808125944,0.9762342602188258,3.5144433367877728,2.203259229660034,0.0880563035607338,0,1,0,0,0,0.01774457402661622,-0.8910836781002784,-0.9474631611255776,0,0,0,0,0,False,False,
5,5,1499.939954796147,870.0472431871997,0.0969357788565885,0.3489688038837186,1.0611114501953125,0.07152599841356277,0,1,0,0,0,0.0024048863022279143,-0.8880389924368168,-0.9418766593566072,1,0,0,0,0,False,False,
5,6,1500.0238679928354,870.0488097936294,0.0,0.0,0.9772955179214478,0.06426723301410675,0,1,0,0,0,-0.0025894089235849707,-0.8878154723362525,-0.9410997046989857,1,0,0,0,0,False,False,
5,7,1501.1358355533769,869.9937230177612,-0.10851091651049573,-0.39063929943778464,0.30660441517829895,0.03664194792509079,0,1,0,0,0,-0.000279063569091578,-0.88484667700961,-0.9408041842857622,0,0,0,0,0,False,False,
6,0,1500.498915996191,870.0238968695204,0.08894598168702272,0.32020553407328184,0.5016695261001587,0.02795735001564026,0,1,0,0,0,-0.0009200680852356097,-0.8865471536270586,-0.9407774026031496,2,0,0,0,0,False,False,
