step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,checkpoint_death_distribution
1,8,0,-0.012615326792001724,-0.045415185391902924,0.0008993202354758978,0.0029405495151877403,0.0,0,active,3,{}
2,8,0,0.06280715763568878,0.22610576450824738,0.0023669544607400894,0.00696948729455471,0.0,0,active,3,{}
3,8,0,0.098004050552845,0.35281455516815186,0.004847238305956125,0.011069294065237045,0.0,0,active,3,{}
4,8,0,0.06748999655246735,0.2429639995098114,0.006896489765495062,0.014141447842121124,0.0,0,active,3,{}
5,8,0,-0.053176648914813995,-0.19143593311309814,0.008721504360437393,0.01491305511444807,0.0,0,active,3,{}
6,8,0,0.06638458371162415,0.23898446559906006,0.010668832808732986,0.016215771436691284,0.0,0,active,3,{}
7,8,0,0.04609639197587967,0.16594702005386353,0.013290009461343288,0.019440004602074623,0.0,0,active,4,{}
8,8,0,0.07680152356624603,0.2764854431152344,0.0168155524879694,0.02245006151497364,0.0,0,active,2,{}
9,8,0,0.09391772747039795,0.3381037414073944,0.02045578323304653,0.02853582054376602,0.0,0,active,1,{}
10,8,1,0.08436384797096252,0.30370980501174927,0.024470921605825424,0.04058928042650223,0.0,0,active,1,{}
11,8,1,0.06890295445919037,0.24805058538913727,0.028106657788157463,0.05219731852412224,0.0,0,active,1,{}
12,8,1,0.1806907057762146,0.6504864692687988,0.031797345727682114,0.06570146232843399,0.0,0,active,1,{}
13,8,0,0.14468485116958618,0.5208653211593628,0.034591563045978546,0.07572561502456665,0.0,0,active,1,{}
14,8,0,0.11303908377885818,0.4069406986236572,0.03633083403110504,0.0816158726811409,0.0,0,active,1,{}
15,8,0,0.06687511503696442,0.24075040221214294,0.03838179260492325,0.0898505374789238,0.0,0,active,1,{}
16,8,0,0.10664479434490204,0.3839212656021118,0.040808290243148804,0.0938429981470108,0.0,0,active,1,{}
17,8,0,0.15539009869098663,0.5594043135643005,0.04427993297576904,0.09836693108081818,0.0,0,active,1,{}
18,8,0,0.1054411306977272,0.3795880079269409,0.04763755574822426,0.10592304170131683,0.0,0,active,1,{}
19,8,0,0.21067866683006287,0.7584432363510132,0.05097118392586708,0.11533356457948685,0.0,0,active,1,{}
20,0,0,0.14058570563793182,0.5061084628105164,0.05379738286137581,0.12420830875635147,0.0,0,max_steps,1,{'0': 8}
