step,car_index,x,y,heading_deg,speed,speed_kph,distance_travelled,lap_count,next_goal_idx,current_checkpoint_index,progress_delta,positive_progress_total,time_since_last_checkpoint,throttle,brake,steering,minimum_wall_distance_ratio,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,moving,alive,termination_reason
1,0,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,1,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,2,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,3,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,4,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,5,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,6,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
1,7,1500.9993896484375,870.0,-177.33700561523438,0.047703810036182404,0.17173370718955994,0.0006208437262102962,0,1,0,0,0,1,0.17924782633781433,0.0,-0.009286186657845974,0.018783658742904663,3.3908420959960495e-07,-0.8852109909057617,-0.9401547312736511,1,0,0,0,0,False,True,active
2,0,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,1,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,2,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,3,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,4,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,5,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,6,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
2,7,1500.9981689453125,870.0000610351562,-177.33702087402344,0.09531573951244354,0.34313663840293884,0.0018613353604450822,0,1,0,0,0,2,0.1792612224817276,0.0,-0.009120642207562923,0.018783658742904663,5.086263286102621e-07,-0.8852142691612244,-0.9401547312736511,2,0,0,0,0,False,True,active
