step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,best_car_speed,best_car_speed_kph,best_car_distance,best_car_checkpoints,best_car_reward,best_car_x,best_car_y
1,8,0,0.04770380258560181,0.17173367738723755,0.0006103515625,0.0006103515625,0.0,0,none,0,0.04770380258560181,0.17173368930816652,0.0006103515625,0,0.0029897072818130255,1500.9993798268415,870.0000288452316
2,8,0,0.09531572461128235,0.34313660860061646,0.001832579611800611,0.001832579611800611,0.0,0,none,0,0.09531572461128235,0.34313660860061646,0.001832579611800611,0,0.006024317815899849,1500.9981406750292,870.0000864799371
3,8,8,0.14283236861228943,0.514196515083313,0.003667698707431555,0.003667698707431555,0.0,0,none,0,0.14283236861228943,0.514196527004242,0.003667698707431555,0,0.02407693676650524,1500.996283783203,870.0001728460585
4,8,8,0.19025391340255737,0.6849140524864197,0.0062340800650417805,0.0062340800650417805,0.0,0,none,0,0.19025391340255737,0.6849140882492065,0.0062340800650417805,0,0.042147018015384674,1500.9938103877498,870.0002878853797
5,8,8,0.23758050799369812,0.8552898168563843,0.00928827840834856,0.00928827840834856,0.0,0,none,0,0.23758050799369812,0.8552898287773133,0.00928827840834856,0,0.06023452430963516,1500.99072172291,870.0004315395275
6,8,8,0.284812331199646,1.0253243446350098,0.012954962439835072,0.012954962439835072,0.0,0,none,0,0.284812331199646,1.0253243923187256,0.012954962439835072,0,0.07833942770957947,1500.9870190207791,870.0006037499826
7,8,8,0.3319495618343353,1.1950184106826782,0.017353307455778122,0.017353307455778122,0.0,0,none,0,0.3319495618343353,1.1950184226036071,0.017353307455778122,0,0.09646167606115341,1500.982703511105,870.0008044580995
8,8,8,0.37899231910705566,1.3643722534179688,0.022242220118641853,0.022242220118641853,0.0,0,none,0,0.37899231910705566,1.3643723487854005,0.022242220118641853,0,0.1146012544631958,1500.9777764215999,870.0010336051
9,8,8,0.4259408414363861,1.5333869457244873,0.027740806341171265,0.027740806341171265,0.0,0,none,0,0.4259408414363861,1.5333870291709901,0.027740806341171265,0,0.13275811076164246,1500.972238977582,870.0012911320946
10,8,8,0.4727952778339386,1.702062964439392,0.03397386893630028,0.03397386893630028,0.0,0,none,0,0.4727952778339386,1.702063000202179,0.03397386893630028,0,0.1509322077035904,1500.9660924023394,870.0015769800699
