step,car_index,x,y,heading_deg,speed,speed_kph,distance_travelled,lap_count,next_goal_idx,current_checkpoint_index,progress_delta,positive_progress_total,time_since_last_checkpoint,throttle,brake,steering,minimum_wall_distance_ratio,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,moving,alive,termination_reason
1,0,1501.0003662109375,870.0,-177.33700561523438,-0.030835546553134918,-0.11100796610116959,0.0004013107973150909,0,1,0,0,0,1,-0.30897343158721924,0.30897343158721924,0.021116137504577637,0.018783658742904663,-1.6954210479980247e-07,-0.8852083683013916,-0.9401473999023438,1,0,0,0,0,False,True,active
1,1,1500.9976806640625,870.0001220703125,-177.33815002441406,0.17837178707122803,0.6421384215354919,0.0023214288521558046,0,1,0,0,0,1,0.670235276222229,0.0,-0.9682629108428955,0.018783658742904663,1.2546115613076836e-05,-0.8852155804634094,-0.9401547312736511,0,0,0,0,0,False,True,active
1,2,1501.0003662109375,870.0,-177.3369903564453,-0.02788623608648777,-0.10039044916629791,0.0003629268321674317,0,1,0,0,0,1,-0.27942121028900146,0.27942121028900146,-0.1226053237915039,0.018783658742904663,-3.3908420959960495e-07,-0.8852083683013916,-0.9401473999023438,1,0,0,0,0,False,True,active
1,3,1501.0008544921875,869.9999389648438,-177.3367462158203,-0.06287230551242828,-0.22634029388427734,0.000818254891782999,0,1,0,0,0,1,-0.6299831867218018,0.6299831867218018,-0.6356660723686218,0.018783628940582275,-2.7126736767968396e-06,-0.8852070569992065,-0.9401547312736511,1,0,0,0,0,False,True,active
1,4,1501.00048828125,870.0,-177.3368377685547,-0.034000881016254425,-0.12240316718816757,0.000442506221588701,0,1,0,0,0,1,-0.3406901955604553,0.3406901955604553,-0.7252750396728516,0.01878371834754944,-2.2040474050299963e-06,-0.8852080702781677,-0.9401473999023438,1,0,0,0,0,False,True,active
1,5,1501.0010986328125,869.9999389648438,-177.33653259277344,-0.08504058420658112,-0.3061460852622986,0.0011067652376368642,0,1,0,0,0,1,-0.8521103858947754,0.8521103858947754,-0.8490191698074341,0.018783628940582275,-5.255805263004731e-06,-0.8852064609527588,-0.9401547312736511,1,0,0,0,0,False,True,active
1,6,1500.99853515625,870.0000610351562,-177.33702087402344,0.11065709590911865,0.3983655273914337,0.0014401525259017944,0,1,0,0,0,1,0.4157959222793579,0.0,-0.024736523628234863,0.018783777952194214,1.6954210479980247e-07,-0.8852132558822632,-0.9401547312736511,0,0,0,0,0,False,True,active
1,7,1500.9969482421875,870.0001220703125,-177.33839416503906,0.2364300936460495,0.8511483073234558,0.0030770315788686275,0,1,0,0,0,1,0.8883907794952393,0.0,-0.8854418396949768,0.018783658742904663,1.5597874153172597e-05,-0.8852174878120422,-0.9401620030403137,0,0,0,0,0,False,True,active
2,0,1501.001708984375,869.9999389648438,-177.33665466308594,-0.10293863713741302,-0.3705790936946869,0.0017410109285265207,0,1,0,0,0,2,-0.7230943441390991,0.7230943441390991,-0.5396495461463928,0.018783628940582275,-4.069010628882097e-06,-0.8852047920227051,-0.9401473999023438,0,0,0,0,0,False,True,active
2,1,1500.9923095703125,870.0003662109375,-177.34194946289062,0.40945857763290405,1.4740508794784546,0.007650348357856274,0,1,0,0,0,2,0.8696562051773071,0.0,-0.7909669876098633,0.018783539533615112,5.4931642807787284e-05,-0.8852298855781555,-0.9401620030403137,0,0,0,0,0,False,True,active
