step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,checkpoint_death_distribution
1,8,0,-0.004377781413495541,-0.015760015696287155,0.0008618825231678784,0.0013257920509204268,0.0,0,active,6,{}
2,8,0,0.005887450650334358,0.0211948249489069,0.0026851994916796684,0.005900267045944929,0.0,0,active,6,{}
3,8,0,-0.069668710231781,-0.25080734491348267,0.0042343284003436565,0.006930581759661436,0.0,0,active,6,{}
4,8,0,-0.1133430004119873,-0.4080348312854767,0.006331504788249731,0.008782646618783474,0.0,0,active,6,{}
5,8,0,-0.0997350737452507,-0.35904625058174133,0.007943511940538883,0.011533642187714577,0.0,0,active,1,{}
6,8,0,-0.10588987171649933,-0.3812035620212555,0.009561440907418728,0.016526222229003906,0.0,0,active,1,{}
7,8,0,-0.095091812312603,-0.3423304855823517,0.01142682135105133,0.021341752260923386,0.0,0,active,1,{}
8,8,0,-0.09584636986255646,-0.3450469374656677,0.013503951951861382,0.026606015861034393,0.0,0,active,1,{}
9,8,0,-0.09849347919225693,-0.3545765280723572,0.014995608478784561,0.03140758350491524,0.0,0,active,1,{}
10,8,0,-0.06085095554590225,-0.2190634310245514,0.016298949718475342,0.034022826701402664,0.0,0,active,1,{}
11,8,0,0.03872530907392502,0.13941115140914917,0.017822731286287308,0.034565914422273636,0.0,0,active,1,{}
12,8,0,0.14006589353084564,0.504237174987793,0.02046259678900242,0.035555724054574966,0.0,0,active,1,{}
13,8,0,0.12681123614311218,0.4565204679965973,0.02312396466732025,0.03828389197587967,0.0,0,active,1,{}
14,8,0,0.1195252537727356,0.4302908778190613,0.02591889724135399,0.04071184992790222,0.0,0,active,5,{}
15,8,1,0.186484232544899,0.671343207359314,0.028696127235889435,0.05237508565187454,0.0,0,active,5,{}
16,8,0,0.1797824651002884,0.6472168564796448,0.03176781162619591,0.06170687451958656,0.0,0,active,5,{}
17,8,1,0.14814910292625427,0.5333368182182312,0.034661758691072464,0.07383786141872406,0.0,0,active,5,{}
18,8,1,0.14389179646968842,0.5180104374885559,0.03774751350283623,0.08605889230966568,0.0,0,active,5,{}
19,8,1,0.17018474638462067,0.612665057182312,0.04127151146531105,0.09952965378761292,0.0,0,active,5,{}
20,8,0,0.05856044590473175,0.2108176052570343,0.04410163685679436,0.10821826756000519,0.0,0,active,5,{}
21,8,0,0.10859616100788116,0.3909461796283722,0.04691348597407341,0.11598097532987595,0.0,0,active,5,{}
22,8,0,0.115715391933918,0.41657543182373047,0.05012412369251251,0.12637536227703094,0.0,0,active,5,{}
23,8,1,0.1609601378440857,0.5794565081596375,0.05338362604379654,0.13827553391456604,0.0,0,active,5,{}
24,8,1,0.15692535042762756,0.5649312734603882,0.05674697086215019,0.15267640352249146,0.0,0,active,5,{}
25,8,1,0.1687960922718048,0.6076658368110657,0.05963261052966118,0.16364148259162903,0.0,0,active,5,{}
26,8,0,0.24083028733730316,0.8669890761375427,0.06359962373971939,0.17280738055706024,0.0,0,active,5,{}
27,8,0,0.1929229199886322,0.6945225596427917,0.067060187458992,0.17714153230190277,0.0,0,active,5,{}
28,8,0,0.2737900912761688,0.9856443405151367,0.07100450247526169,0.18435198068618774,0.0,0,active,5,{}
29,8,0,0.16460365056991577,0.5925731062889099,0.0737881064414978,0.18639087677001953,0.0,0,active,5,{}
30,8,0,0.12425023317337036,0.44730082154273987,0.07614875584840775,0.18700963258743286,0.0,0,active,5,{}
31,8,0,0.09335857629776001,0.3360908627510071,0.07853708416223526,0.18791663646697998,0.0,0,active,5,{}
32,8,0,0.10817543417215347,0.38943156599998474,0.08120860159397125,0.18982134759426117,0.0,0,active,5,{}
33,8,0,0.1289941966533661,0.46437910199165344,0.08419983834028244,0.1915310025215149,0.0,0,active,5,{}
34,8,0,0.12261775135993958,0.4414238929748535,0.08706026524305344,0.1939668208360672,0.0,0,active,5,{}
35,8,0,0.14154040813446045,0.5095454454421997,0.09069107472896576,0.1976613700389862,0.0,0,active,5,{}
36,8,0,0.22831639647483826,0.8219390511512756,0.09417396038770676,0.19812659919261932,0.0,0,active,5,{}
37,8,0,0.15354754030704498,0.5527710914611816,0.09672930836677551,0.20040108263492584,0.0,0,active,5,{}
38,8,0,0.15279076993465424,0.5500468015670776,0.09971925616264343,0.20097847282886505,0.0,0,active,5,{}
39,8,0,0.15679079294204712,0.5644468069076538,0.10271093249320984,0.20104964077472687,0.0,0,active,5,{}
40,0,1,0.198726087808609,0.7154139280319214,0.10595279932022095,0.2041218876838684,0.0,0,max_steps,5,{'0': 8}
