step,car_index,x,y,heading_deg,speed,speed_kph,distance_travelled,lap_count,next_goal_idx,current_checkpoint_index,progress_delta,positive_progress_total,time_since_last_checkpoint,throttle,brake,steering,minimum_wall_distance_ratio,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,moving,alive,termination_reason
1,0,1500.999267578125,870.0000610351562,-177.336669921875,0.058139022439718246,0.2093004733324051,0.0007566533167846501,0,1,0,0,0,1,0.21845829486846924,0.0,0.8769019842147827,0.018783777952194214,-4.069010628882097e-06,-0.8852113485336304,-0.9401473999023438,1,0,0,0,0,False,True,active
1,1,1501.0010986328125,869.9999389648438,-177.33692932128906,-0.08793249726295471,-0.31655699014663696,0.0011444019619375467,0,1,0,0,0,1,-0.8810875415802002,0.8810875415802002,-0.1425396203994751,0.0187835693359375,-8.477105097881577e-07,-0.8852064609527588,-0.9401547312736511,1,0,0,0,0,False,True,active
1,2,1500.999755859375,870.0,-177.3369903564453,0.02105368860065937,0.07579327374696732,0.0002740042982622981,0,1,0,0,0,1,0.0791095495223999,0.0,0.15348875522613525,0.018783658742904663,0.0,-0.8852100372314453,-0.9401547312736511,1,0,0,0,0,False,True,active
1,3,1500.9991455078125,870.0000610351562,-177.336669921875,0.06632427871227264,0.23876740038394928,0.0008631807868368924,0,1,0,0,0,1,0.2492145299911499,0.0,0.7757518291473389,0.018783777952194214,-4.069010628882097e-06,-0.8852116465568542,-0.9401473999023438,1,0,0,0,0,False,True,active
1,4,1501.001220703125,869.9999389648438,-177.3374786376953,-0.09625162184238434,-0.3465058207511902,0.001252671703696251,0,1,0,0,0,1,-0.9644455909729004,0.9644455909729004,0.7378549575805664,0.018783509731292725,5.255805263004731e-06,-0.8852061033248901,-0.9401473999023438,1,0,0,0,0,False,True,active
1,5,1501.001220703125,869.9999389648438,-177.3372039794922,-0.08948475122451782,-0.32214510440826416,0.0011646038619801402,0,1,0,0,0,1,-0.896641194820404,0.896641194820404,0.336972713470459,0.0187835693359375,2.2040474050299963e-06,-0.8852061033248901,-0.9401473999023438,1,0,0,0,0,False,True,active
1,6,1500.9986572265625,870.0000610351562,-177.33651733398438,0.10186997801065445,0.3667319118976593,0.0013257920509204268,0,1,0,0,0,1,0.3827781677246094,0.0,0.713752031326294,0.01878383755683899,-5.425347353593679e-06,-0.8852129578590393,-0.9401547312736511,0,0,0,0,0,False,True,active
1,7,1501.0001220703125,870.0,-177.33702087402344,-0.008740350604057312,-0.03146526217460632,0.00011375173926353455,0,1,0,0,0,1,-0.0875786542892456,0.0875786542892456,0.3893512487411499,0.018783658742904663,1.6954210479980247e-07,-0.8852090239524841,-0.9401473999023438,1,0,0,0,0,False,True,active
2,0,1501.0,870.0,-177.33706665039062,-0.054025422781705856,-0.19449152052402496,0.0014597699046134949,0,1,0,0,0,2,-0.5413370132446289,0.5413370132446289,0.5821040868759155,0.018783658742904663,6.781684191992099e-07,-0.8852093815803528,-0.9401547312736511,2,0,0,0,0,False,True,active
2,1,1501.0029296875,869.9998779296875,-177.3364715576172,-0.13641969859600067,-0.4911108911037445,0.0029198434203863144,0,1,0,0,0,2,-0.48760682344436646,0.48760682344436646,-0.4249382019042969,0.0187835693359375,-6.10351571594947e-06,-0.8852015733718872,-0.9401473999023438,0,0,0,0,0,False,True,active
