step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,best_car_speed,best_car_speed_kph,best_car_distance,best_car_checkpoints,best_car_reward,best_car_x,best_car_y
1,8,4,0.10466644912958145,0.37679919600486755,0.001512754475697875,0.0033009808976203203,0.0,0,none,7,0.2531871497631073,0.9114737391471863,0.0033009808976203203,0,0.01752811297774315,1500.9967084422728,870.0001531137607
2,8,1,0.042063113301992416,0.15142720937728882,0.0023071591276675463,0.007699154317378998,0.0,0,none,5,0.40312597155570984,1.4512534976005556,0.007699154317378998,0,0.03419369459152222,1500.9922605455615,870.0003602891506
3,8,3,0.09474083036184311,0.34106698632240295,0.0042324308305978775,0.014785806648433208,0.0,0,none,5,0.5433003902435303,1.955881404876709,0.014785806648433208,0,0.052310749888420105,1500.985197415558,870.000689771856
4,8,6,0.16284403204917908,0.5862385034561157,0.0063558113761246204,0.020531222224235535,0.0,0,none,5,0.4428018629550934,1.5940867066383362,0.020531222224235535,0,0.06710623949766159,1500.9794408127184,870.0009584085457
5,8,4,0.15556788444519043,0.5600443482398987,0.008387666195631027,0.026886209845542908,0.0,0,none,5,0.4846860468387604,1.7448697686195374,0.026886209845542908,0,0.08459918200969696,1500.9731396987177,870.0012524605431
6,8,6,0.22996217012405396,0.8278638124465942,0.011488933116197586,0.03543897718191147,0.0,0,none,5,0.6574869751930237,2.3669531106948853,0.03543897718191147,0,0.10082797706127167,1500.9645920772814,870.001650792113
7,8,7,0.32748231291770935,1.178936243057251,0.015735341235995293,0.04105951637029648,0.0,0,none,5,0.4303414523601532,1.5492292284965516,0.04105951637029648,0,0.11856576800346375,1500.9589974317735,870.0019111611695
8,8,6,0.24419645965099335,0.8791072368621826,0.01891285926103592,0.042525630444288254,0.0,0,none,5,0.11158046126365662,0.40168966054916383,0.042525630444288254,0,0.1315290778875351,1500.9575468323665,870.0019786748395
9,8,6,0.3027721345424652,1.089979648590088,0.022930879145860672,0.042525630444288254,0.0,0,none,5,0.0,0.0,0.042525630444288254,0,0.13355065882205963,1500.9575468323665,870.0019786748395
10,8,5,0.24119755625724792,0.8683111667633057,0.02665771171450615,0.043502192944288254,0.0,0,none,5,-0.07097601145505905,-0.2555136412382126,0.043502192944288254,0,0.132913738489151,1500.9584695545016,870.001935730025
11,8,5,0.24596267938613892,0.8854656219482422,0.030278226360678673,0.04509379342198372,0.0,0,none,5,-0.12754780054092407,-0.45917208194732667,0.04509379342198372,0,0.14811459183692932,1500.9601277373781,870.0018585624745
12,8,5,0.20370200276374817,0.7333272099494934,0.03289162367582321,0.057318489998579025,0.0,0,none,4,0.9745026230812073,3.5082094430923463,0.057318489998579025,0,0.11890694499015808,1500.9439186477987,870.0026113106692
13,8,3,0.17318668961524963,0.6234720945358276,0.035197868943214417,0.0710039809346199,0.0,0,none,4,1.04778254032135,3.7720171451568603,0.0710039809346199,0,0.13205046951770782,1500.9302970473207,870.0032468819991
14,8,3,0.2052917182445526,0.7390501499176025,0.03828589990735054,0.08628033846616745,0.0,0,none,4,1.174855351448059,4.229479265213013,0.08628033846616745,0,0.14905041456222534,1500.9150233888956,870.003958240856
15,8,4,0.2085890918970108,0.7509207129478455,0.04124969244003296,0.0986216738820076,0.0,0,none,4,0.9484741687774658,3.414507007598877,0.0986216738820076,0,0.1649031639099121,1500.9026927906623,870.00453255033
16,8,2,0.22184467315673828,0.798640787601471,0.04439627006649971,0.1134103313088417,0.0,0,none,4,1.1370707750320435,4.093454790115357,0.1134103313088417,0,0.18047653138637543,1500.8879103010433,870.0052199953534
17,8,5,0.2937782406806946,1.0576016902923584,0.04823042452335358,0.12929636240005493,0.0,0,none,4,1.2210909128189087,4.395927286148072,0.12929636240005493,0,0.1969384253025055,1500.8720354843301,870.0059577383131
18,8,5,0.3840787708759308,1.382683515548706,0.053455233573913574,0.14860239624977112,0.0,0,none,4,1.4812381267547607,5.332457256317139,0.14860239624977112,0,0.21359112858772278,1500.8527787101452,870.0068546301763
19,8,6,0.4174254834651947,1.5027316808700562,0.05889304354786873,0.16534483432769775,0.0,0,none,4,1.2885533571243286,4.638792085647583,0.16534483432769775,0,0.23165112733840942,1500.836027071586,870.0076379738537
20,8,5,0.3375736176967621,1.2152650356292725,0.06329262256622314,0.18110892176628113,0.0,0,none,4,1.2050971984863281,4.338349914550782,0.18110892176628113,0,0.2490735650062561,1500.8203605243907,870.0083734082679
21,8,6,0.3827877640724182,1.3780359029769897,0.06848648935556412,0.19846394658088684,0.0,0,none,4,1.339964509010315,4.823872232437134,0.19846394658088684,0,0.2630614936351776,1500.8029406451024,870.009190607768
22,8,3,0.2866203784942627,1.031833291053772,0.0722443163394928,0.21813857555389404,0.0,0,none,4,1.5122848749160767,5.444225549697876,0.21813857555389404,0,0.2758752703666687,1500.7832806908802,870.0101157404292
23,8,4,0.31020882725715637,1.116751790046692,0.07691918313503265,0.23866963386535645,0.0,0,none,4,1.573775053024292,5.6655901908874515,0.23866963386535645,0,0.28976377844810486,1500.762821332637,870.0110780439614
24,8,5,0.38332098722457886,1.379955530166626,0.08191445469856262,0.259197860956192,0.0,0,none,4,1.5806645154953003,5.690392255783081,0.259197860956192,0,0.30828720331192017,1500.7422722854576,870.0120419117515
25,8,7,0.4223371744155884,1.5204137563705444,0.08739862591028214,0.27679675817489624,0.0,0,none,4,1.3535064458847046,4.8726232051849365,0.27679675817489624,0,0.32288506627082825,1500.72467638306,870.0128679215152
26,8,7,0.4580443203449249,1.6489595174789429,0.09334072470664978,0.29647138714790344,0.0,0,none,4,1.5111125707626343,5.440005254745484,0.29647138714790344,0,0.33960583806037903,1500.7050315969113,870.013790794754
27,8,5,0.3995059132575989,1.4382212162017822,0.09871858358383179,0.3194468915462494,0.0,0,none,4,1.7620636224746704,6.343429040908814,0.3194468915462494,0,0.35730135440826416,1500.6821245004746,870.0148692070712
28,8,5,0.436204195022583,1.570335030555725,0.104767806828022,0.3424195647239685,0.0,0,none,4,1.7620158195495605,6.343256950378418,0.3424195647239685,0,0.3746262192726135,1500.6592182706495,870.0159527852604
29,8,5,0.3663136959075928,1.318729281425476,0.11026714742183685,0.3597745895385742,0.0,0,none,4,1.3318439722061157,4.794638299942017,0.3597745895385742,0,0.3919011056423187,1500.6419044157103,870.0167746971802
30,8,5,0.39719247817993164,1.429892897605896,0.11569090932607651,0.3763951063156128,0.0,0,none,4,1.2796967029571533,4.606908130645752,0.3763951063156128,0,0.40890341997146606,1500.6252685375903,870.0175658093907
31,8,7,0.42605939507484436,1.5338138341903687,0.12167955935001373,0.3935033679008484,0.0,0,none,4,1.3122526407241821,4.724109506607056,0.3935033679008484,0,0.4259728491306305,1500.6082095260292,870.0183789269971
32,8,6,0.4398724436759949,1.5835407972335815,0.1277741938829422,0.412812203168869,0.0,0,none,4,1.483905553817749,5.342059993743897,0.412812203168869,0,0.442321240901947,1500.5889190769271,870.019298723661
33,8,5,0.3700067400932312,1.3320242166519165,0.13341084122657776,0.4265005588531494,0.0,0,none,4,1.0596219301223755,3.814638948440552,0.4265005588531494,0,0.4598577618598938,1500.5751442228168,870.0199555256678
34,8,7,0.350258469581604,1.2609304189682007,0.13861992955207825,0.436278373003006,0.0,0,none,4,0.7449787855148315,2.6819236278533936,0.436278373003006,0,0.4752473533153534,1500.56545969625,870.0204180472422
35,8,6,0.31308847665786743,1.127118468284607,0.14297360181808472,0.4444652795791626,0.0,0,none,4,0.6299117207527161,2.267682194709778,0.4444652795791626,0,0.4934157729148865,1500.5572710537374,870.0208100137926
