step,alive_cars,moving_cars,avg_current_speed,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,best_car_speed,best_car_distance,best_car_checkpoints,best_car_reward,best_car_x,best_car_y
1,8,5,0.12111297249794006,0.14219960570335388,0.3150102198123932,0.0,0,none,7,0.314951628446579,0.3150102198123932,0,0.016266392543911934,1500.6853601434402,870.0140101790298
2,8,5,0.1648208200931549,0.36225301027297974,0.7689704298973083,0.0,0,none,7,0.45398885011672974,0.7689704298973083,0,0.03040335141122341,1500.2318410998928,870.0346585318019
3,8,6,0.25053590536117554,0.6127669811248779,1.344747543334961,0.0,0,none,2,0.5932884812355042,1.344747543334961,0,0.035638824105262756,1499.657075648352,870.0704685368727
4,8,6,0.30035585165023804,0.9131487607955933,2.018347978591919,0.0,0,none,7,0.7160405516624451,2.018347978591919,0,0.06665828824043274,1498.9840172576949,870.0973172557692
5,8,6,0.3574240207672119,1.3050415515899658,2.92873477935791,0.0,0,none,7,0.9104387760162354,2.92873477935791,0,0.08614876121282578,1498.0753953934818,870.1548071220543
6,8,4,0.3377951979637146,1.6548044681549072,4.078756809234619,0.0,0,none,7,1.1500097513198853,4.078756809234619,0,0.10682633519172668,1496.9290437586085,870.2464602973475
7,8,7,0.482513964176178,2.167882204055786,5.521514892578125,0.0,0,none,7,1.4427181482315063,5.521514892578125,0,0.12801596522331238,1495.4937790964839,870.3929215862763
8,8,8,0.5468927025794983,2.714794158935547,6.428319931030273,0.0,0,none,7,0.9068121910095215,6.428319931030273,0,0.1411074697971344,1494.5917978849118,870.4864002303051
9,8,7,0.5931747555732727,3.3079538345336914,6.808966636657715,0.0,0,none,7,0.38064709305763245,6.808966636657715,0,0.15710331499576569,1494.2131321370143,870.5251876163829
10,8,8,0.4845481216907501,3.826972723007202,7.207625389099121,0.0,0,none,7,0.39864522218704224,7.207625389099121,0,0.1692734956741333,1493.8164193269536,870.564391734839
11,8,8,0.4821321964263916,4.377490997314453,7.6774702072143555,0.0,0,none,7,0.4698384702205658,7.6774702072143555,0,0.17920659482479095,1493.3487771723965,870.6097679921047
12,8,8,0.6494612693786621,5.109588623046875,8.312374114990234,0.0,0,none,0,1.221379280090332,8.312374114990234,0,0.15807080268859863,1492.6985372335625,870.4201812526351
13,8,8,0.5146422386169434,5.726300239562988,9.385099411010742,0.0,0,none,0,1.0728037357330322,9.385099411010742,0,0.1762610375881195,1491.6292415874952,870.5068688366141
14,8,8,0.6014915704727173,6.349594593048096,10.234437942504883,0.0,0,none,7,1.0418307781219482,10.234437942504883,0,0.22745676338672638,1490.806612824756,870.8845309265931
15,8,8,0.6806796789169312,7.07076358795166,11.571325302124023,0.0,0,none,7,1.3369050025939941,11.571325302124023,0,0.2427162528038025,1489.4781014024004,871.0341044581268
16,8,8,0.8112629652023315,7.909685134887695,13.070877075195312,0.0,0,none,7,1.4995430707931519,13.070877075195312,0,0.25929880142211914,1487.988363406308,871.205306562091
17,8,8,0.7771447896957397,8.686857223510742,14.501322746276855,0.0,0,none,7,1.4303919076919556,14.501322746276855,0,0.27900391817092896,1486.567401033887,871.3692785893411
18,8,8,0.7377574443817139,9.424583435058594,16.218006134033203,0.0,0,none,7,1.7167043685913086,16.218006134033203,0,0.29909613728523254,1484.8604665767527,871.5521683699825
19,8,8,0.7879542112350464,10.212568283081055,17.566055297851562,0.0,0,none,7,1.3479959964752197,17.566055297851562,0,0.3187679052352905,1483.5192128147903,871.6868214911407
20,8,8,0.7257595062255859,10.938305854797363,19.14251136779785,0.0,0,none,7,1.576468825340271,19.14251136779785,0,0.3395620286464691,1481.9498621867822,871.8364629311438
21,8,8,0.8074591159820557,11.745780944824219,20.85013198852539,0.0,0,none,7,1.7076367139816284,20.85013198852539,0,0.3575834035873413,1480.2513601845774,872.0128547476145
22,8,8,0.658184289932251,12.403932571411133,22.30900764465332,0.0,0,none,7,1.4589513540267944,22.30900764465332,0,0.3698452413082123,1478.7993833867527,872.1553409896784
23,8,8,0.7439754605293274,13.14791488647461,23.771852493286133,0.0,0,none,7,1.4628071784973145,23.771852493286133,0,0.3831884562969208,1477.3442213280505,872.3047001127303
24,8,8,0.6932862401008606,13.841214179992676,25.209915161132812,0.0,0,none,7,1.4380842447280884,25.209915161132812,0,0.40085598826408386,1475.9137815034778,872.4527821914768
25,8,8,0.6443348526954651,14.485546112060547,26.8997802734375,0.0,0,none,7,1.6898351907730103,26.8997802734375,0,0.42070090770721436,1474.231805304947,872.6155673248733
26,8,8,0.7757081389427185,15.267065048217773,28.770103454589844,0.0,0,none,7,1.8703134059906006,28.770103454589844,0,0.43862077593803406,1472.370605360394,872.7999773212696
27,8,8,0.6649441719055176,15.934846878051758,30.691123962402344,0.0,0,none,7,1.9210662841796875,30.691123962402344,0,0.45577141642570496,1470.4571055187337,872.9703122042296
28,8,8,0.7548086643218994,16.693937301635742,32.88645935058594,0.0,0,none,7,2.195268154144287,32.88645935058594,0,0.46937599778175354,1468.2721181181355,873.182520739674
29,8,8,0.881551206111908,17.609031677246094,35.3486442565918,0.0,0,none,7,2.462193727493286,35.3486442565918,0,0.4845007658004761,1465.8219126089423,873.4251945711134
30,8,8,0.799425482749939,18.457605361938477,38.070377349853516,0.0,0,none,7,2.7216854095458984,38.070377349853516,0,0.4991532564163208,1463.1093126441392,873.647395120712
31,8,8,0.746992826461792,19.218393325805664,40.227264404296875,0.0,0,none,7,2.156902551651001,40.227264404296875,0,0.5112870931625366,1460.9561012309316,873.7735250755876
32,8,8,0.6248531341552734,19.891277313232422,42.06555938720703,0.125,1,none,7,1.8383580446243286,42.06555938720703,1,3.7331933975219727,1459.1187547842337,873.8345037061616
33,8,8,0.6074455380439758,20.563426971435547,43.35997772216797,0.125,1,none,7,1.2943669557571411,43.35997772216797,1,3.754302978515625,1457.8244928549702,873.8509877202123
34,8,8,0.5860586762428284,21.149497985839844,44.3004150390625,0.125,1,none,7,0.9404267072677612,44.3004150390625,1,3.7709197998046875,1456.884072362383,873.8544080548266
35,8,8,0.5721695423126221,21.730934143066406,45.250038146972656,0.125,1,none,7,0.9497005343437195,45.250038146972656,1,3.785623550415039,1455.9344088898567,873.8460152394123
36,8,8,0.47930672764778137,22.234773635864258,45.849185943603516,0.125,1,none,7,0.599159836769104,45.849185943603516,1,3.795640468597412,1455.3352745811835,873.8404874892298
37,8,8,0.48186177015304565,22.79938507080078,46.00202178955078,0.125,1,none,7,0.15273302793502808,46.00202178955078,1,3.809298038482666,1455.182546715662,873.8392318154889
38,8,8,0.5414657592773438,23.404937744140625,46.07209396362305,0.125,1,none,7,0.07015697658061981,46.07209396362305,1,3.803889274597168,1455.1123919954955,873.838669141852
39,8,8,0.4878804087638855,23.94623565673828,46.45600891113281,0.125,1,none,7,0.3839353919029236,46.45600891113281,1,3.8167788982391357,1454.7284607396246,873.8368859697003
40,8,8,0.29529163241386414,24.24150848388672,46.45600891113281,0.125,1,none,7,0.0,46.45600891113281,1,3.816141128540039,1454.7284607396246,873.8368859697003
41,8,8,0.41055285930633545,24.686542510986328,46.62055969238281,0.125,1,none,7,0.16449622809886932,46.62055969238281,1,3.8308160305023193,1454.563964971384,873.8364940172477
42,8,8,0.476416677236557,25.249616622924805,46.62055969238281,0.125,1,none,7,0.0,46.62055969238281,1,3.82902455329895,1454.563964971384,873.8364940172477
43,8,8,0.5067711472511292,25.784378051757812,46.70991516113281,0.125,1,none,7,-0.08932776749134064,46.70991516113281,1,3.8265364170074463,1454.6532921478456,873.8368191938604
44,8,8,0.49047979712486267,26.30445098876953,46.93696594238281,0.125,1,none,7,0.22708308696746826,46.93696594238281,1,3.839326858520508,1454.4262097381827,873.8362654589852
45,8,8,0.6414371132850647,26.945892333984375,47.47517776489258,0.125,1,none,7,0.5381508469581604,47.47517776489258,1,3.8511388301849365,1453.8880614984007,873.8379473175237
46,8,8,0.7335015535354614,27.679378509521484,48.011085510253906,0.125,1,none,7,0.535865068435669,48.011085510253906,1,3.8656349182128906,1453.3522155450928,873.8424735915867
47,8,8,0.8582873344421387,28.537694931030273,48.73300552368164,0.25,1,none,7,0.72191321849823,48.73300552368164,1,3.88291335105896,1452.6304199937254,873.8555056452419
48,8,8,1.0229179859161377,29.56057357788086,49.75657272338867,0.25,1,none,7,1.023651361465454,49.75657272338867,1,3.8979098796844482,1451.6070225724493,873.8783044840267
49,8,8,1.0050482749938965,30.565658569335938,50.36997604370117,0.375,1,none,7,0.6133230924606323,50.36997604370117,1,3.9118270874023438,1450.9939426812264,873.8955737117815
50,8,8,0.880608081817627,31.446243286132812,50.46181106567383,0.375,1,none,7,0.09190209209918976,50.46181106567383,1,3.910224437713623,1450.9020781299669,873.8982002587926
51,8,8,0.6586101055145264,32.10487365722656,50.46181106567383,0.375,1,none,7,0.0,50.46181106567383,1,3.9088094234466553,1450.9020781299669,873.8982002587926
52,8,8,0.6304850578308105,32.76198196411133,50.56829833984375,0.375,1,none,7,-0.10648111999034882,50.56829833984375,1,3.9153854846954346,1451.0085153799444,873.8951439040258
53,8,8,0.53858882188797,33.30056381225586,51.46258544921875,0.375,1,none,0,2.009408712387085,51.46258544921875,1,3.986743927001953,1449.6062365752944,872.4536817762115
54,8,8,0.42336782813072205,33.72391891479492,52.991153717041016,0.375,1,none,0,1.5285688638687134,52.991153717041016,1,4.008475303649902,1448.0779149854786,872.4261876433634
55,8,8,0.26006561517715454,34.08598327636719,54.46921157836914,0.375,1,none,0,1.4780564308166504,54.46921157836914,1,4.0270609855651855,1446.6009851225494,872.3684909588344
56,8,8,0.33981233835220337,34.50322341918945,56.23237609863281,0.375,1,none,0,1.7632436752319336,56.23237609863281,1,4.047160625457764,1444.8406514975375,872.2672296161057
