step,car_index,x,y,heading_deg,speed,speed_kph,distance_travelled,lap_count,next_goal_idx,current_checkpoint_index,progress_delta,positive_progress_total,time_since_last_checkpoint,throttle,brake,steering,minimum_wall_distance_ratio,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,moving,alive,termination_reason
1,0,1501.0010986328125,869.9999389648438,-177.33656311035156,-0.08710761368274689,-0.31358739733695984,0.0011336664902046323,0,1,0,0,0,1,-0.8728221654891968,0.8728221654891968,-0.7695527672767639,0.018783628940582275,-4.916721081826836e-06,-0.8852064609527588,-0.9401547312736511,1,0,0,0,0,False,True,active
1,1,1501.0010986328125,869.9999389648438,-177.33645629882812,-0.08231408149003983,-0.29633069038391113,0.0010712810326367617,0,1,0,0,0,1,-0.8247907161712646,0.8247907161712646,-0.9954127669334412,0.018783628940582275,-6.10351571594947e-06,-0.8852064609527588,-0.9401547312736511,1,0,0,0,0,False,True,active
1,2,1500.998779296875,870.0000610351562,-177.3375701904297,0.0933539867401123,0.3360743522644043,0.0012149601243436337,0,1,0,0,0,1,0.3507791757583618,0.0,-0.9076082706451416,0.018783658742904663,6.273057806538418e-06,-0.8852126598358154,-0.9401547312736511,1,0,0,0,0,False,True,active
1,3,1501.001220703125,869.9999389648438,-177.33642578125,-0.09089837223291397,-0.3272341191768646,0.0011830015573650599,0,1,0,0,0,1,-0.9108057022094727,0.9108057022094727,-0.9573887586593628,0.01878368854522705,-6.442599897127366e-06,-0.8852061033248901,-0.9401473999023438,1,0,0,0,0,False,True,active
1,4,1500.997314453125,870.0001220703125,-177.3369903564453,0.20385132730007172,0.7338647842407227,0.0026530337054282427,0,1,0,0,0,1,0.7659752368927002,0.0,0.013422369956970215,0.018783867359161377,-1.6954210479980247e-07,-0.8852165341377258,-0.9401547312736511,0,0,0,0,0,False,True,active
1,5,1501.0010986328125,869.9999389648438,-177.33700561523438,-0.08021558821201324,-0.28877609968185425,0.0010439699981361628,0,1,0,0,0,1,-0.8037638068199158,0.8037638068199158,-0.005271971225738525,0.0187835693359375,0.0,-0.8852064609527588,-0.9401547312736511,1,0,0,0,0,False,True,active
1,6,1500.999755859375,870.0,-177.3370819091797,0.01836935617029667,0.06612967699766159,0.00023906890419311821,0,1,0,0,0,1,0.06902313232421875,0.0,-0.6137542724609375,0.018783658742904663,1.0172526572205243e-06,-0.8852100372314453,-0.9401547312736511,1,0,0,0,0,False,True,active
1,7,1501.0,870.0,-177.33700561523438,0.0008640141459181905,0.0031104509253054857,1.1244756024098024e-05,0,1,0,0,0,1,0.0032465457916259766,0.0,-0.8388532400131226,0.018783658742904663,0.0,-0.8852093815803528,-0.9401547312736511,1,0,0,0,0,False,True,active
2,0,1501.001220703125,869.9999389648438,-177.3365478515625,-0.004958088975399733,-0.017849119380116463,0.0011981937568634748,0,1,0,0,0,2,0.30802345275878906,0.0,-0.18019640445709229,0.018783628940582275,-5.086263172415784e-06,-0.8852061033248901,-0.9401473999023438,2,0,0,0,0,False,True,active
2,1,1501.0006103515625,869.9999389648438,-177.3367919921875,0.03423720598220825,0.12325394153594971,0.0015168628888204694,0,1,0,0,0,2,0.4373246431350708,0.0,-0.8515186905860901,0.018783628940582275,-1.864963110165263e-06,-0.8852077126502991,-0.9401547312736511,2,0,0,0,0,False,True,active
2,2,1500.9971923828125,870.0001220703125,-177.338134765625,0.12458536773920059,0.44850730895996094,0.002836382482200861,0,1,0,0,0,2,0.11805427074432373,0.0,-0.14335358142852783,0.018783658742904663,1.2546115613076836e-05,-0.8852168917655945,-0.9401547312736511,0,0,0,0,0,False,True,active
2,3,1501.003662109375,869.9998168945312,-177.33494567871094,-0.19041931629180908,-0.6855095028877258,0.003661223454400897,0,1,0,0,0,2,-0.9990274906158447,0.9990274906158447,-0.579823911190033,0.018783658742904663,-2.2718642867403105e-05,-0.8851996064186096,-0.9401473999023438,0,0,0,0,0,False,True,active
2,4,1500.9918212890625,870.0003662109375,-177.33425903320312,0.4254146218299866,1.5314925909042358,0.008189613930881023,0,1,0,0,0,2,0.8340631723403931,0.0,0.9551980495452881,0.018783867359161377,-3.0348037398653105e-05,-0.8852311968803406,-0.9401620030403137,0,0,0,0,0,False,True,active
2,5,1500.9989013671875,870.0000610351562,-177.3363494873047,0.16879212856292725,0.6076516509056091,0.0032407238613814116,0,1,0,0,0,2,0.93504798412323,0.0,0.5863423347473145,0.0187835693359375,-7.459852440661052e-06,-0.8852123022079468,-0.9401547312736511,0,0,0,0,0,False,True,active
2,6,1500.99755859375,870.0001220703125,-177.33770751953125,0.16730128228664398,0.6022846102714539,0.0024164202623069286,0,1,0,0,0,2,0.5597525835037231,0.0,-0.20183801651000977,0.018783658742904663,7.798937076586299e-06,-0.8852158784866333,-0.9401547312736511,0,0,0,0,0,False,True,active
2,7,1500.997314453125,870.0001220703125,-177.33822631835938,0.20549055933952332,0.739766001701355,0.0026856123004108667,0,1,0,0,0,2,0.7688946723937988,0.0,-0.39428937435150146,0.018783658742904663,1.3563368156610522e-05,-0.8852165341377258,-0.9401547312736511,0,0,0,0,0,False,True,active
3,0,1500.998779296875,870.0000610351562,-177.3362579345703,0.18394960463047028,0.6622185707092285,0.003592215245589614,0,1,0,0,0,3,0.7097868919372559,0.0,0.6247230768203735,0.018783628940582275,-8.307562893605791e-06,-0.8852126598358154,-0.9401547312736511,0,0,0,0,0,False,True,active
3,1,1501.0018310546875,869.9998779296875,-177.33563232421875,-0.09541702270507812,-0.3435012698173523,0.002758672460913658,0,1,0,0,0,3,-0.956082820892334,0.956082820892334,-0.903951108455658,0.018783628940582275,-1.4750163245480508e-05,-0.8852044939994812,-0.9401547312736511,3,0,0,0,0,False,True,active
3,2,1500.9954833984375,870.0001831054688,-177.3391571044922,0.1355113983154297,0.48784101009368896,0.004600002430379391,0,1,0,0,0,3,0.041991353034973145,0.0,-0.7074849605560303,0.018783628940582275,2.4244520318461582e-05,-0.8852214217185974,-0.9401620030403137,0,0,0,0,0,False,True,active
3,3,1501.0052490234375,869.999755859375,-177.3345184326172,-0.1217961236834526,-0.43846604228019714,0.005246345419436693,0,1,0,0,0,3,0.2564213275909424,0.0,0.16806018352508545,0.018783658742904663,-2.763536394922994e-05,-0.8851953744888306,-0.9401473999023438,0,0,0,0,0,False,True,active
3,4,1500.98388671875,870.000732421875,-177.3319549560547,0.6069521903991699,2.185027837753296,0.016088824719190598,0,1,0,0,0,3,0.6853352785110474,0.0,-0.003883540630340576,0.018783867359161377,-5.594889444182627e-05,-0.8852523565292358,-0.9401766061782837,0,0,0,0,0,False,True,active
3,5,1500.9937744140625,870.0003051757812,-177.3371124267578,0.39447641372680664,1.4201149940490723,0.008374657481908798,0,1,0,0,0,3,0.8492838144302368,0.0,-0.6411834955215454,0.0187835693359375,1.0172526572205243e-06,-0.8852260112762451,-0.9401620030403137,0,0,0,0,0,False,True,active
3,6,1500.994140625,870.0003051757812,-177.33819580078125,0.2642631232738495,0.9513472318649292,0.005855686031281948,0,1,0,0,0,3,0.36559438705444336,0.0,0.05803978443145752,0.018783658742904663,1.2715658158413135e-05,-0.8852249979972839,-0.9401547312736511,0,0,0,0,0,False,True,active
3,7,1500.9932861328125,870.0003051757812,-177.3394317626953,0.30846723914146423,1.1104819774627686,0.006700174883008003,0,1,0,0,0,3,0.38848280906677246,0.0,-0.05618768930435181,0.018783658742904663,2.6957193767884746e-05,-0.8852273225784302,-0.9401620030403137,0,0,0,0,0,False,True,active
4,0,1500.999755859375,870.0,-177.33621215820312,-0.07830305397510529,-0.28189098834991455,0.004611294250935316,0,1,0,0,0,4,-0.784600019454956,0.784600019454956,-0.23628979921340942,0.018783628940582275,-8.646647074783687e-06,-0.8852100372314453,-0.9401547312736511,1,0,0,0,0,False,True,active
4,1,1501.0040283203125,869.999755859375,-177.33480834960938,-0.1687023788690567,-0.6073285341262817,0.004954257979989052,0,1,0,0,0,4,-0.7362359762191772,0.7362359762191772,0.325793981552124,0.018783599138259888,-2.356635195610579e-05,-0.8851985931396484,-0.9401547312736511,0,0,0,0,0,False,True,active
4,2,1500.9959716796875,870.0001831054688,-177.33883666992188,-0.03718651831150055,-0.13387146592140198,0.00508396839722991,0,1,0,0,0,4,-0.3726104497909546,0.3726104497909546,-0.6305299997329712,0.018783628940582275,2.0345052689663135e-05,-0.8852201104164124,-0.9401547312736511,1,0,0,0,0,False,True,active
4,3,1501.0079345703125,869.9996337890625,-177.3326873779297,-0.21100613474845886,-0.7596220374107361,0.007992494851350784,0,1,0,0,0,4,-0.8963310718536377,0.8963310718536377,-0.969847559928894,0.018783658742904663,-4.798041481990367e-05,-0.8851881623268127,-0.9401401281356812,0,0,0,0,0,False,True,active
4,4,1500.9798583984375,870.0009155273438,-177.3330841064453,0.3119220733642578,1.1229194402694702,0.020148349925875664,0,1,0,0,0,4,-0.6308667063713074,0.6308667063713074,-0.8935902118682861,0.018783867359161377,-4.340277882874943e-05,-0.8852631449699402,-0.9401839375495911,0,0,0,0,0,False,True,active
4,5,1500.985595703125,870.0006713867188,-177.34080505371094,0.6328939199447632,2.2784180641174316,0.016611486673355103,0,1,0,0,0,4,0.8988305330276489,0.0,-0.7040029764175415,0.0187835693359375,4.2215982830384746e-05,-0.8852478265762329,-0.9401693344116211,0,0,0,0,0,False,True,active
4,6,1500.988037109375,870.0006103515625,-177.3367462158203,0.467850923538208,1.6842632293701172,0.01194455660879612,0,1,0,0,0,4,0.766974925994873,0.0,0.6408370733261108,0.018783658742904663,-3.729926220330526e-06,-0.8852413296699524,-0.9401620030403137,0,0,0,0,0,False,True,active
4,7,1500.9945068359375,870.000244140625,-177.339599609375,-0.09123118966817856,-0.32843226194381714,0.007887507788836956,0,1,0,0,0,4,-0.9141406416893005,0.9141406416893005,0.6332728862762451,0.018783658742904663,2.8991700673941523e-05,-0.8852240443229675,-0.9401620030403137,1,0,0,0,0,False,True,active
5,0,1501.0010986328125,869.9999389648438,-177.33633422851562,-0.1021190956234932,-0.36762872338294983,0.005940328352153301,0,1,0,0,0,5,-0.2402074933052063,0.2402074933052063,0.2278425693511963,0.018783628940582275,-7.459852440661052e-06,-0.8852064609527588,-0.9401547312736511,0,0,0,0,0,False,True,active
5,1,1501.0074462890625,869.9995727539062,-177.33363342285156,-0.26038339734077454,-0.9373801946640015,0.008343031629920006,0,1,0,0,0,5,-0.9220321178436279,0.9220321178436279,-0.2366422414779663,0.018783509731292725,-3.6282010114518926e-05,-0.8851894736289978,-0.9401547312736511,0,0,0,0,0,False,True,active
5,2,1500.996826171875,870.0001220703125,-177.33819580078125,-0.061078768223524094,-0.21988356113433838,0.005878881085664034,0,1,0,0,0,5,-0.24014675617218018,0.24014675617218018,-0.7609246969223022,0.018783628940582275,1.3563368156610522e-05,-0.8852178454399109,-0.9401620030403137,2,0,0,0,0,False,True,active
5,3,1501.0115966796875,869.9994506835938,-177.32949829101562,-0.28347906470298767,-1.0205246210098267,0.011681847274303436,0,1,0,0,0,5,-0.730414867401123,0.730414867401123,-0.8754801750183105,0.018783658742904663,-8.341471402673051e-05,-0.8851783871650696,-0.9401401281356812,0,0,0,0,0,False,True,active
5,4,1500.98095703125,870.0008544921875,-177.33255004882812,-0.08444276452064514,-0.30399394035339355,0.02124733477830887,0,1,0,0,0,5,-0.846120297908783,0.846120297908783,-0.6298778057098389,0.018783867359161377,-4.916721081826836e-05,-0.8852602243423462,-0.9401839375495911,1,0,0,0,0,False,True,active
5,5,1500.976318359375,870.0010986328125,-177.34500122070312,0.716038167476654,2.577737331390381,0.02593040280044079,0,1,0,0,0,5,0.3171830177307129,0.0,-0.3554254174232483,0.0187835693359375,8.884006092557684e-05,-0.8852725625038147,-0.9401839375495911,0,0,0,0,0,False,True,active
5,6,1500.9801025390625,870.0009765625,-177.3328094482422,0.6126188635826111,2.205427885055542,0.01991751603782177,0,1,0,0,0,5,0.5474917888641357,0.0,0.6829488277435303,0.018783658742904663,-4.747178900288418e-05,-0.8852624893188477,-0.9401766061782837,0,0,0,0,0,False,True,active
