step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,checkpoint_death_distribution
1,8,0,-0.003012121422216296,-0.010843637399375439,0.0010687782196328044,0.0026530337054282427,0.0,0,active,4,{}
2,8,0,0.11630547046661377,0.4186996817588806,0.0032181290443986654,0.008189613930881023,0.0,0,active,4,{}
3,8,0,0.2095508575439453,0.7543830871582031,0.006652073003351688,0.016088824719190598,0.0,0,active,4,{}
4,8,0,0.10327970236539841,0.37180694937705994,0.00990423932671547,0.020148349925875664,0.0,0,active,4,{}
5,8,0,0.04511062800884247,0.16239824891090393,0.013640114106237888,0.02593040280044079,0.0,0,active,5,{}
6,8,0,-0.028277862817049026,-0.10180031508207321,0.01677967607975006,0.03438476473093033,0.0,0,active,5,{}
7,8,0,-0.04789223521947861,-0.17241203784942627,0.019391711801290512,0.03786288946866989,0.0,0,active,5,{}
8,8,0,-0.05408218130469322,-0.1946958601474762,0.022629253566265106,0.04261625558137894,0.0,0,active,5,{}
9,8,0,0.041000355035066605,0.14760127663612366,0.02580401487648487,0.04599304869771004,0.0,0,active,5,{}
10,8,0,0.0013495534658432007,0.00485837459564209,0.027524171397089958,0.04701004922389984,0.0,0,active,5,{}
11,8,0,0.007873442955315113,0.028344392776489258,0.028453826904296875,0.0477362759411335,0.0,0,active,5,{}
12,8,0,0.00357664842158556,0.012875933200120926,0.03042282536625862,0.048152290284633636,0.0,0,active,5,{}
13,8,0,0.09658889472484589,0.34772002696990967,0.032201532274484634,0.04933663085103035,0.0,0,active,5,{}
14,8,0,0.04653627425432205,0.1675306111574173,0.03387197107076645,0.05079258233308792,0.0,0,active,5,{}
15,8,0,0.03980981931090355,0.1433153748512268,0.03587709367275238,0.05200422555208206,0.0,0,active,5,{}
16,8,0,0.05493335798382759,0.19776007533073425,0.03844239190220833,0.05514020100235939,0.0,0,active,5,{}
17,8,0,-0.03703823685646057,-0.13333764672279358,0.04070606082677841,0.05629720911383629,0.0,0,active,1,{}
18,8,0,0.07080717384815216,0.2549057900905609,0.0429736003279686,0.06357403844594955,0.0,0,active,1,{}
19,8,0,0.15206539630889893,0.5474353432655334,0.045718710869550705,0.06914622336626053,0.0,0,active,1,{}
20,8,0,0.148567795753479,0.5348439812660217,0.04923354089260101,0.07421455532312393,0.0,0,active,1,{}
21,8,0,0.23005928099155426,0.8282133936882019,0.05262651666998863,0.07982413470745087,0.0,0,active,1,{}
22,8,0,0.26695430278778076,0.9610354900360107,0.056469883769750595,0.08594183623790741,0.0,0,active,1,{}
23,8,1,0.3007771074771881,1.0827975273132324,0.06131133809685707,0.09331591427326202,0.0,0,active,1,{}
24,8,0,0.27393677830696106,0.9861724972724915,0.06606093794107437,0.10196243226528168,0.0,0,active,1,{}
25,8,1,0.3682749569416046,1.3257898092269897,0.0720912367105484,0.11310672760009766,0.0,0,active,1,{}
26,8,0,0.30488353967666626,1.0975807905197144,0.07694072276353836,0.11927367746829987,0.0,0,active,1,{}
27,8,0,0.30933088064193726,1.113591194152832,0.08101607859134674,0.12884114682674408,0.0,0,active,1,{}
28,8,1,0.27978068590164185,1.007210612297058,0.08475541323423386,0.14014339447021484,0.0,0,active,1,{}
29,8,1,0.2124825119972229,0.7649369835853577,0.08838731795549393,0.15225422382354736,0.0,0,active,1,{}
30,8,0,0.15668870508670807,0.5640793442726135,0.09091240167617798,0.15976794064044952,0.0,0,active,1,{}
31,8,0,0.19950321316719055,0.7182115912437439,0.09403076767921448,0.16414949297904968,0.0,0,active,1,{}
32,8,0,0.11388999968767166,0.4100040793418884,0.09643933922052383,0.1689666360616684,0.0,0,active,1,{}
33,8,0,0.11168945580720901,0.40208202600479126,0.09808707982301712,0.17069940268993378,0.0,0,active,1,{}
34,8,0,0.1190146803855896,0.42845284938812256,0.10006473958492279,0.1722676157951355,0.0,0,active,1,{}
35,8,0,0.17900055646896362,0.644402027130127,0.10267754644155502,0.17389093339443207,0.0,0,active,1,{}
36,8,0,0.19842803478240967,0.7143409252166748,0.10610239207744598,0.17588657140731812,0.0,0,active,1,{}
37,8,0,0.13573531806468964,0.48864710330963135,0.10860586166381836,0.1762678325176239,0.0,0,active,1,{}
38,8,0,0.052023470401763916,0.18728448450565338,0.11020921915769577,0.1769799292087555,0.0,0,active,1,{}
39,8,0,0.05288100615143776,0.19037163257598877,0.1122833639383316,0.17811644077301025,0.0,0,active,1,{}
40,0,0,0.09872512519359589,0.35541045665740967,0.11451490968465805,0.17941726744174957,0.0,0,max_steps,1,{'0': 8}
