step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,checkpoint_death_distribution
1,8,0,0.09789460897445679,0.3524205982685089,0.0017375937895849347,0.003278916236013174,0.0,0,active,1,{}
2,8,0,0.1164102852344513,0.4190770089626312,0.003877640003338456,0.008044794201850891,0.0,0,active,4,{}
3,8,0,0.20585854351520538,0.7410907745361328,0.00701154675334692,0.013143647462129593,0.0,0,active,4,{}
4,8,0,0.1906963288784027,0.6865068078041077,0.010319058783352375,0.019171427935361862,0.0,0,active,6,{}
5,8,0,0.2436000555753708,0.8769601583480835,0.01442717295140028,0.02436012402176857,0.0,0,active,6,{}
6,8,0,0.22577457129955292,0.8127884268760681,0.01788732409477234,0.030307471752166748,0.0,0,active,4,{}
7,8,0,0.2817322611808777,1.0142360925674438,0.022016320377588272,0.03880609571933746,0.0,0,active,4,{}
8,8,0,0.28741729259490967,1.0347023010253906,0.02638525329530239,0.047692786902189255,0.0,0,active,4,{}
9,8,0,0.2889201045036316,1.0401122570037842,0.03074486553668976,0.053003910928964615,0.0,0,active,6,{}
10,8,0,0.22121167182922363,0.7963619828224182,0.03483494743704796,0.05987846851348877,0.0,0,active,6,{}
11,8,0,0.2928948998451233,1.0544216632843018,0.03885601460933685,0.06641096621751785,0.0,0,active,6,{}
12,8,0,0.32822906970977783,1.1816246509552002,0.043127767741680145,0.0758805125951767,0.0,0,active,4,{}
13,8,0,0.3595905005931854,1.2945256233215332,0.048230815678834915,0.08507005125284195,0.0,0,active,4,{}
14,8,1,0.3032977283000946,1.091871738433838,0.052863433957099915,0.08898206055164337,0.0,0,active,4,{}
15,8,1,0.3177034258842468,1.1437323093414307,0.056998200714588165,0.09416241943836212,0.0,0,active,5,{}
16,8,1,0.28513452410697937,1.0264843702316284,0.060971103608608246,0.10679567605257034,0.0,0,active,5,{}
17,8,1,0.32739806175231934,1.1786329746246338,0.06577645242214203,0.12145842611789703,0.0,0,active,5,{}
18,8,1,0.26375237107276917,0.9495083689689636,0.06957755982875824,0.1348702758550644,0.0,0,active,5,{}
19,8,1,0.22275091707706451,0.801903247833252,0.07350672036409378,0.14739163219928741,0.0,0,active,5,{}
20,8,1,0.21467629075050354,0.7728345990180969,0.077457956969738,0.15423762798309326,0.0,0,active,5,{}
21,8,1,0.2588226795196533,0.931761622428894,0.08188565820455551,0.15842142701148987,0.0,0,active,5,{}
22,8,0,0.1481526792049408,0.5333496332168579,0.08480142056941986,0.15957631170749664,0.0,0,active,5,{}
23,8,0,0.12973475456237793,0.4670450985431671,0.08711345493793488,0.16108693182468414,0.0,0,active,5,{}
24,8,0,0.19690918922424316,0.7088730931282043,0.09057974815368652,0.16352565586566925,0.0,0,active,5,{}
25,8,0,0.213492289185524,0.7685722708702087,0.09392911940813065,0.1640583872795105,0.0,0,active,5,{}
26,8,0,0.27032411098480225,0.973166823387146,0.09832634031772614,0.16433928906917572,0.0,0,active,5,{}
27,8,1,0.21616894006729126,0.7782081365585327,0.10191933065652847,0.16515278816223145,0.0,0,active,5,{}
28,8,0,0.18089625239372253,0.6512265205383301,0.10472087562084198,0.1679593175649643,0.0,0,active,5,{}
29,8,1,0.26389867067337036,0.9500350952148438,0.1087973415851593,0.17307496070861816,0.0,0,active,5,{}
30,8,0,0.32175344228744507,1.1583123207092285,0.11342181265354156,0.1802612841129303,0.0,0,active,5,{}
31,8,2,0.32471394538879395,1.1689702272415161,0.11794976145029068,0.18219442665576935,0.0,0,active,5,{}
32,8,1,0.3367428481578827,1.2122743129730225,0.12248555570840836,0.18241269886493683,0.0,0,active,5,{}
33,8,1,0.2613818347454071,0.9409745931625366,0.12645669281482697,0.18790750205516815,0.0,0,active,6,{}
34,8,1,0.2686072587966919,0.9669860601425171,0.1309218555688858,0.20489159226417542,0.0,0,active,6,{}
35,8,1,0.3074742555618286,1.1069073677062988,0.13575246930122375,0.22167451679706573,0.0,0,active,6,{}
36,8,2,0.26212000846862793,0.9436320066452026,0.14060728251934052,0.23354701697826385,0.0,0,active,6,{}
37,8,2,0.33347299695014954,1.2005027532577515,0.1466374546289444,0.24763202667236328,0.0,0,active,6,{}
38,8,1,0.2605425715446472,0.9379532337188721,0.15134170651435852,0.2559312880039215,0.0,0,active,6,{}
39,8,1,0.27540284395217896,0.9914501905441284,0.15627995133399963,0.26361528038978577,0.0,0,active,6,{}
40,0,1,0.30098098516464233,1.0835314989089966,0.16150784492492676,0.2743242681026459,0.0,0,max_steps,6,{'0': 8}
