step,car_index,x,y,heading_deg,speed,speed_kph,distance_travelled,lap_count,next_goal_idx,current_checkpoint_index,progress_delta,positive_progress_total,time_since_last_checkpoint,throttle,brake,steering,minimum_wall_distance_ratio,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,moving,alive,termination_reason
1,0,1500.9991455078125,870.0000610351562,-177.33721923828125,0.06951332092285156,0.2502479553222656,0.0009046847117133439,0,1,0,0,0,1,0.26119744777679443,0.0,-0.46134674549102783,0.01878371834754944,2.0345053144410485e-06,-0.8852116465568542,-0.9401473999023438,1,0,0,0,0,False,True,active
1,1,1500.9967041015625,870.0001220703125,-177.33599853515625,0.25194233655929565,0.9069923758506775,0.003278916236013174,0,1,0,0,0,1,0.9466784000396729,0.0,0.6028984785079956,0.018783986568450928,-1.0850694707187358e-05,-0.8852181434631348,-0.9401620030403137,0,0,0,0,0,False,True,active
1,2,1501.000732421875,869.9999389648438,-177.33729553222656,-0.055654313415288925,-0.20035552978515625,0.0007243159343488514,0,1,0,0,0,1,-0.5576586127281189,0.5576586127281189,0.7859827280044556,0.0187835693359375,3.5603841297415784e-06,-0.8852074146270752,-0.9401547312736511,1,0,0,0,0,False,True,active
1,3,1500.9991455078125,870.0000610351562,-177.3374481201172,0.06854591518640518,0.24676528573036194,0.0008920943364500999,0,1,0,0,0,1,0.25756239891052246,0.0,-0.9731301069259644,0.01878371834754944,4.57763690064894e-06,-0.8852116465568542,-0.9401473999023438,1,0,0,0,0,False,True,active
1,4,1500.9970703125,870.0001220703125,-177.33836364746094,0.22487576305866241,0.8095527291297913,0.0029266574420034885,0,1,0,0,0,1,0.8449751138687134,0.0,-0.9123784303665161,0.018783658742904663,1.52587890625e-05,-0.8852171897888184,-0.9401547312736511,0,0,0,0,0,False,True,active
1,5,1501.0010986328125,869.9999389648438,-177.3375701904297,-0.08681366592645645,-0.31252917647361755,0.0011298409663140774,0,1,0,0,0,1,-0.8698768019676208,0.8698768019676208,0.9849419593811035,0.018783509731292725,6.273057806538418e-06,-0.8852064609527588,-0.9401547312736511,1,0,0,0,0,False,True,active
1,6,1500.996826171875,870.0001220703125,-177.33779907226562,0.24039292335510254,0.8654145002365112,0.00312860612757504,0,1,0,0,0,1,0.9032812118530273,0.0,-0.5051499605178833,0.018783748149871826,9.15527380129788e-06,-0.8852178454399109,-0.9401620030403137,0,0,0,0,0,False,True,active
1,7,1500.9991455078125,870.0000610351562,-177.33709716796875,0.07035458832979202,0.2532764971256256,0.0009156333981081843,0,1,0,0,0,1,0.2643585205078125,0.0,-0.21421277523040771,0.01878371834754944,6.781684191992099e-07,-0.8852116465568542,-0.9401473999023438,1,0,0,0,0,False,True,active
2,0,1500.9959716796875,870.0001831054688,-177.338623046875,0.24680009484291077,0.8884803056716919,0.004116677213460207,0,1,0,0,0,2,0.6666814088821411,0.0,-0.5825645923614502,0.01878371834754944,1.7971462511923164e-05,-0.8852201104164124,-0.9401547312736511,0,0,0,0,0,False,True,active
2,1,1500.9974365234375,870.0000610351562,-177.3359832763672,-0.054900772869586945,-0.19764277338981628,0.00399342505261302,0,1,0,0,0,2,-0.5501080751419067,0.5501080751419067,-0.38905221223831177,0.018783897161483765,-1.0511610526009463e-05,-0.885216236114502,-0.9401620030403137,1,0,0,0,0,False,True,active
