step,car_index,x,y,speed,distance_travelled,total_reward,lap_count,next_goal_idx,progress_delta,checkpoints_reached,checkpoint_streak,heading_error_norm,goal_distance_norm,lateral_offset_norm,no_progress_steps,reverse_speed_steps,reverse_progress_events,heading_away_steps,wall_hugging_steps,done,collided,terminated_reason
1,0,1500.7717177187617,870.0108344776097,0.22853924352817015,0.22852987051010132,0.01691688410937786,0,1,0,0,0,-0.0006066485749913555,-0.885818781969785,-0.9404404893932102,0,0,0,0,0,False,False,
1,1,1500.6853578838816,870.0139593415654,0.31495162239999996,0.3150075078010559,0.016048995777964592,0,1,0,0,0,0.0013730992919593948,-0.8860493874876175,-0.9406678174607395,0,0,0,0,0,False,False,
1,2,1500.6853873001407,870.0146073111699,0.31495162239999996,0.31491324305534363,0.01888752542436123,0,1,0,0,0,5.282476494320084e-05,-0.8860491379525894,-0.9405939078779296,0,0,0,0,0,False,False,
1,3,1500.9897562893107,870.0004764240409,0.010254783691111612,0.010265525430440903,0.0029182282742112875,0,1,0,0,0,1.5449523415453667e-06,-0.885236744050882,-0.9401620242129566,1,0,0,0,0,False,False,
1,4,1500.929286977456,870.0033240142209,0.07079110557020464,0.07075551897287369,-0.0006030180957168341,0,1,0,0,0,-0.00031486607770969183,-0.8853980507093453,-0.9402496908975754,1,0,0,0,0,False,False,
1,5,1500.9030324776518,870.0045760000091,0.0970754354428517,0.09703186899423599,-0.0010184854036197066,0,1,0,0,0,-0.000432621318337725,-0.8854681209120623,-0.9402789131257816,1,0,0,0,0,False,False,
1,6,1500.685357087618,870.01394138229,0.31495162239999996,0.31500479578971863,0.015517666935920715,0,1,0,0,0,0.0014103448257234024,-0.8860493799229163,-0.9406751212311544,0,0,0,0,0,False,False,
1,7,1501.0357835599789,869.9983266764312,-0.03582266288986862,0.03580454736948013,-0.0021514599211513996,0,1,0,0,0,-0.0001595024790225984,-0.8851138905525257,-0.9402480114591727,1,0,0,0,0,False,False,
1,8,1501.0516900869027,869.9976145299229,-0.0517451017150211,0.05169057846069336,-0.003318987088277936,0,1,0,0,0,0.00022974934739971155,-0.8850715277987476,-0.9403358282212657,1,0,0,0,0,False,False,
1,9,1501.0294360007285,869.9986316511031,-0.029467787796094897,0.029449572786688805,0.001941360766068101,0,1,0,0,0,1.6184102030554944e-05,-0.8851308371664369,-0.9402114211416339,1,0,0,0,0,False,False,
1,10,1501.0267896117066,869.9987561700893,-0.02681847140010683,0.02676125429570675,0.0010586186544969678,0,1,0,0,0,5.17975378152692e-05,-0.8851380060151695,-0.9401967850146185,1,0,0,0,0,False,False,
1,11,1501.1046444381354,869.9950560895539,-0.10476116018444341,0.1047310084104538,0.009389068000018597,0,1,0,0,0,-0.00046460756109196506,-0.8849300867156491,-0.9406431868885915,0,0,0,0,0,False,False,
1,12,1500.685357087618,870.01394138229,0.31495162239999996,0.31500479578971863,0.015784014016389847,0,1,0,0,0,0.0014103448257234024,-0.8860493799229163,-0.9406751212311544,0,0,0,0,0,False,False,
